iter,f_phi_max,f_gamma_max,f_bl_max,merit,mu,lam,p_fbl,p_merit,ds_change,termination,wall_s
0,3.193620e-09,1.530432e-09,1.709994e-06,9.100983e-11,,,,,0.000000e+00,,0.08
1,1.116334e-07,6.435653e-10,1.708478e-06,9.084263e-11,1.000000e-06,0.000977,,,6.992465e-05,,13.22
2,1.115699e-07,4.219749e-10,1.708520e-06,9.075533e-11,3.333333e-07,0.000977,,0.5229,9.699082e-06,,42.83
3,1.119250e-07,4.338118e-10,1.708420e-06,9.075236e-11,1.111111e-07,0.000061,,0.0339,2.282247e-06,,62.41
4,1.122286e-07,4.376743e-10,1.708319e-06,9.074752e-11,3.703704e-08,0.000061,,1.6370,2.272248e-06,,105.16
5,1.132732e-07,4.401850e-10,1.708125e-06,9.074491e-11,1.234568e-08,0.000122,,0.5373,4.227902e-06,floor_reached,120.39
