iter,f_phi_max,f_gamma_max,f_bl_max,merit,mu,lam,p_fbl,p_merit,ds_change,termination,wall_s
0,6.721364e-06,5.551115e-17,2.818693e-06,9.415172e-10,,,,,0.000000e+00,,0.15
1,7.127788e-06,8.239441e-09,3.214859e-06,7.484449e-10,1.000000e-06,0.125000,,,3.493864e-04,,1.86
2,6.693132e-06,8.668280e-09,3.248806e-06,7.065737e-10,3.333333e-07,0.062500,,0.2509,6.033460e-04,,5.47
3,6.643358e-06,8.638113e-09,3.224485e-06,7.027411e-10,1.111111e-07,0.007812,,0.0945,1.607205e-05,,6.74
4,3.885299e-06,5.371527e-09,5.480993e-06,6.330110e-10,3.703704e-08,0.500000,,19.2135,1.273581e-03,,8.01
5,2.978380e-06,4.092892e-09,3.813539e-06,2.765348e-10,1.234568e-08,0.250000,,7.9248,1.617029e-03,,10.26
6,2.878584e-06,3.948368e-09,3.678321e-06,2.675730e-10,4.115226e-09,0.031250,,0.0398,1.324811e-04,,12.76
7,2.842099e-06,3.916729e-09,3.648518e-06,2.661951e-10,1.371742e-09,0.007812,,0.1567,4.396559e-05,,14.43
8,2.337018e-06,3.422900e-09,3.261326e-06,2.248924e-10,4.572474e-10,0.125000,,32.6581,2.899116e-04,,16.70
9,2.336447e-06,3.422066e-09,3.262538e-06,2.248450e-10,1.524158e-10,0.000244,,0.0013,2.776743e-06,,19.81
10,2.335305e-06,3.420389e-09,3.267673e-06,2.248349e-10,5.080526e-11,0.000488,,0.2122,3.405874e-06,cap,23.45
