level,h_wall,n_nodes,n_wall,cp_max,cp_rms,cl_p,cl_exact,cl_rel,residual,n_kutta
xcoarse,0.08,598,82,8.669785e-01,4.040037e-01,1.159284,1.200000,3.392971e-02,1.928e-10,0
coarse,0.04,2038,162,3.246621e-01,1.547972e-01,1.158277,1.200000,3.476885e-02,7.861e-11,0
medium,0.02,7042,318,1.009252e-01,5.172111e-02,1.186373,1.200000,1.135567e-02,8.187e-11,0
