mesh,cl_kj,cl_p_3d,v6_pct,shock_eta044,shock_eta065,shock_eta090,gamma_root,gamma_tip,m_max,n_limited,n_floored,solve_min
M1,0.2767,0.2717,1.78,0.636,0.588,0.449,0.1076,-0.0000,1.392,0,0,23.3
M4,0.2710,0.2657,1.98,0.635,0.584,0.455,0.1055,0.0003,1.368,0,0,18.7
