level,turb,points,nj,nk,ni,n_tail,k_crit,basin_depth,mach,alpha_deg,re_root_chord,h1_wall,cl,cd,cd_pressure,cd_friction,cm_quarter_chord,cl_raw_sref1,cd_raw_sref1,s_ref_half_planform,wetted_area,resid_final,resid_decades,ncyc_fine,wall_s,yplus_wing_avg,yplus_wing_max,n_yplus_gt5_wing,n_pts_wing,yplus_te_base_avg,yplus_te_base_max,n_pts_te_base,yplus_tip_avg,yplus_aggregate_avg,n_yplus_gt5_all,n_pts_all,te_base_area_frac,te_base_cdv_share,te_base_cdp_share,note
L1,none,769131,225,61,33,9,29,0.2360,0.8395,3.06,1.4620e+07,2.0000e-03,0.295819,0.012328,0.012328,0.000000,0.102017,0.342950,0.014292,1.15932,2.387431,2.172306e-08,2.27,1512,,,,,,,,,,,,,+0.071,,-4.542,"euler, alpha = experimental UNCORRECTED; grid normalised to root chord = 1; coefficients divided by the half-planform area (deck SREF = 1)"
L2,none,2001667,329,77,45,17,37,0.2360,0.8395,3.06,1.4620e+07,1.4140e-03,0.294803,0.012060,0.012060,0.000000,0.101114,0.341771,0.013982,1.15932,2.387446,2.284930e-08,1.78,1512,,,,,,,,,,,,,+0.071,,-4.683,"euler, alpha = experimental UNCORRECTED; grid normalised to root chord = 1; coefficients divided by the half-planform area (deck SREF = 1)"
L3,none,4813279,441,101,61,25,49,0.2360,0.8395,3.06,1.4620e+07,1.0000e-03,0.294958,0.011919,0.011919,0.000000,0.101068,0.341951,0.013818,1.15932,2.387451,1.321820e-08,1.70,1512,,,,,,,,,,,,,+0.071,,-4.576,"euler, alpha = experimental UNCORRECTED; grid normalised to root chord = 1; coefficients divided by the half-planform area (deck SREF = 1)"
L4,none,11277855,593,133,81,33,65,0.2360,0.8395,3.06,1.4620e+07,7.0720e-04,0.295448,0.011938,0.011938,0.000000,0.101417,0.342519,0.013840,1.15932,2.387454,1.215767e-08,1.35,1512,,,,,,,,,,,,,+0.071,,-4.385,"euler, alpha = experimental UNCORRECTED; grid normalised to root chord = 1; coefficients divided by the half-planform area (deck SREF = 1)"
REF,none,3716255,441,81,61,17,41,0.2360,0.8395,3.06,1.4620e+07,1.0000e-03,0.295313,0.011938,0.011938,0.000000,0.101301,0.342363,0.013840,1.15932,2.387451,9.095642e-09,1.81,1512,,,,,,,,,,,,,+0.071,,-4.574,"euler, alpha = experimental UNCORRECTED; grid normalised to root chord = 1; coefficients divided by the half-planform area (deck SREF = 1)"
