xc_station,side,z_over_b,n_nodes,ds_over_c_mean,ds_over_c_std,tip_masked
0.40,lower,0.275,14,7.100834e-04,6.918377e-05,0
0.40,lower,0.325,12,7.871110e-04,4.741401e-05,0
0.40,lower,0.375,12,7.131751e-04,4.656324e-05,0
0.40,lower,0.425,13,7.218948e-04,7.250938e-05,0
0.40,lower,0.475,11,7.637457e-04,6.110705e-05,0
0.40,lower,0.525,11,7.485272e-04,6.719833e-05,0
0.40,lower,0.575,12,7.504577e-04,9.606450e-05,0
0.40,lower,0.625,11,7.826840e-04,6.240088e-05,0
0.40,lower,0.675,10,7.229088e-04,1.089858e-04,0
0.40,lower,0.725,10,7.398854e-04,5.897214e-05,0
0.40,lower,0.775,10,6.731000e-04,1.189483e-04,0
0.40,lower,0.825,10,7.655418e-04,1.119767e-04,0
0.40,lower,0.875,8,7.147841e-04,8.746675e-05,0
0.40,lower,0.925,9,7.076114e-04,5.937275e-05,0
0.40,lower,0.975,14,1.010812e-03,3.453000e-05,1
0.60,upper,0.025,18,1.367111e-03,4.800914e-05,0
0.60,upper,0.075,14,1.370471e-03,4.991785e-05,0
0.60,upper,0.125,14,1.382934e-03,5.038255e-05,0
0.60,upper,0.175,13,1.381249e-03,5.113697e-05,0
0.60,upper,0.225,15,1.392167e-03,5.707801e-05,0
0.60,upper,0.275,13,1.413962e-03,5.000819e-05,0
0.60,upper,0.325,13,1.413301e-03,5.623611e-05,0
0.60,upper,0.375,11,1.423308e-03,4.758931e-05,0
0.60,upper,0.425,12,1.431874e-03,5.822566e-05,0
0.60,upper,0.475,12,1.421127e-03,5.371967e-05,0
0.60,upper,0.525,11,1.451822e-03,5.426313e-05,0
0.60,upper,0.575,12,1.452284e-03,7.501637e-05,0
0.60,upper,0.625,11,1.418837e-03,6.320607e-05,0
0.60,upper,0.675,10,1.471100e-03,5.654717e-05,0
0.60,upper,0.725,11,1.464462e-03,5.828714e-05,0
0.60,upper,0.775,10,1.480832e-03,5.328946e-05,0
0.60,upper,0.825,9,1.494243e-03,5.588064e-05,0
0.60,upper,0.875,8,1.492742e-03,4.796022e-05,0
0.60,upper,0.925,9,1.514340e-03,6.099951e-05,0
0.60,upper,0.975,13,1.410642e-03,3.625966e-05,1
0.60,lower,0.025,16,1.243839e-03,4.731932e-05,0
0.60,lower,0.075,15,1.248382e-03,4.998727e-05,0
0.60,lower,0.125,14,1.276971e-03,4.445493e-05,0
0.60,lower,0.175,12,1.261556e-03,4.750724e-05,0
0.60,lower,0.225,15,1.256042e-03,6.124067e-05,0
0.60,lower,0.275,12,1.253902e-03,1.157610e-04,0
0.60,lower,0.325,13,1.275915e-03,5.913596e-05,0
0.60,lower,0.375,13,1.273971e-03,5.517964e-05,0
0.60,lower,0.425,12,1.277944e-03,5.095403e-05,0
0.60,lower,0.475,12,1.276493e-03,5.290237e-05,0
0.60,lower,0.525,12,1.266524e-03,6.681969e-05,0
0.60,lower,0.575,11,1.272795e-03,5.356867e-05,0
0.60,lower,0.625,11,1.263583e-03,9.012758e-05,0
