xc_station,side,z_over_b,n_nodes,ds_over_c_mean,ds_over_c_std,tip_masked
0.20,upper,0.025,3,4.543258e-04,4.862510e-06,0
0.20,upper,0.075,3,4.578112e-04,4.668505e-05,0
0.20,upper,0.125,6,4.517098e-04,4.161186e-05,0
0.20,upper,0.175,4,4.640313e-04,3.232062e-05,0
0.20,upper,0.225,3,4.660029e-04,4.916793e-05,0
0.20,upper,0.275,3,4.523475e-04,9.333850e-06,0
0.20,upper,0.325,2,4.544563e-04,2.163839e-07,0
0.20,upper,0.375,2,4.706503e-04,1.755903e-05,0
0.20,upper,0.425,6,4.445693e-04,5.264165e-05,0
0.20,upper,0.475,3,4.417574e-04,4.382366e-05,0
0.20,upper,0.525,2,4.244998e-04,9.824610e-06,0
0.20,upper,0.575,3,4.352412e-04,2.502348e-05,0
0.20,upper,0.625,2,5.202364e-04,6.743614e-06,0
0.20,upper,0.675,2,5.347693e-04,7.595808e-06,0
0.20,upper,0.725,2,5.223490e-04,6.038226e-07,0
0.20,upper,0.775,4,4.514503e-04,7.276831e-05,0
0.20,upper,0.825,2,4.506149e-04,1.040665e-06,0
0.20,upper,0.875,2,4.600189e-04,4.956769e-06,0
0.20,upper,0.925,3,5.334206e-04,3.694929e-05,0
0.20,upper,0.975,2,6.080265e-04,8.836860e-06,1
0.20,lower,0.025,3,3.399545e-04,3.934179e-05,0
0.20,lower,0.075,5,3.906820e-04,5.685757e-05,0
0.20,lower,0.125,5,3.745889e-04,3.793923e-05,0
0.20,lower,0.175,3,3.669690e-04,4.053797e-05,0
0.20,lower,0.225,2,3.544047e-04,2.442639e-05,0
0.20,lower,0.275,2,5.126599e-04,1.019724e-05,0
0.20,lower,0.325,4,4.179550e-04,7.014705e-05,0
0.20,lower,0.375,4,3.859262e-04,4.314200e-05,0
0.20,lower,0.425,3,3.202107e-04,1.244100e-04,0
0.20,lower,0.475,3,3.984353e-04,1.646569e-05,0
0.20,lower,0.525,2,3.846095e-04,5.374832e-05,0
0.20,lower,0.575,2,4.045860e-04,1.032011e-04,0
0.20,lower,0.625,4,3.312058e-04,3.869963e-05,0
0.20,lower,0.675,3,4.019694e-04,3.985899e-06,0
0.20,lower,0.725,2,4.015947e-04,3.532086e-05,0
0.20,lower,0.775,3,3.889119e-04,2.106308e-05,0
0.20,lower,0.825,2,2.441481e-04,1.836186e-04,0
0.20,lower,0.875,3,4.718701e-04,1.839090e-04,0
0.20,lower,0.925,2,4.462079e-04,5.182889e-05,0
0.20,lower,0.975,3,6.090833e-04,2.743066e-05,1
0.40,upper,0.025,6,8.483241e-04,1.482373e-04,0
0.40,upper,0.075,2,8.112238e-04,3.794578e-06,0
0.40,upper,0.125,6,8.071277e-04,7.607778e-05,0
0.40,upper,0.175,3,8.681313e-04,6.575983e-05,0
0.40,upper,0.225,2,8.175552e-04,6.279712e-06,0
0.40,upper,0.275,4,8.602534e-04,6.328961e-05,0
0.40,upper,0.325,4,7.190674e-04,1.000140e-04,0
0.40,upper,0.375,2,8.754447e-04,1.421238e-05,0
0.40,upper,0.425,3,8.570571e-04,2.986510e-05,0
0.40,upper,0.475,3,7.868931e-04,5.057342e-05,0
0.40,upper,0.525,3,7.470973e-04,4.373826e-05,0
0.40,upper,0.575,3,7.745386e-04,8.433254e-05,0
0.40,upper,0.625,2,7.279748e-04,1.666238e-04,0
0.40,upper,0.675,3,9.079676e-04,8.677632e-05,0
0.40,upper,0.725,3,8.379234e-04,7.722670e-05,0
0.40,upper,0.775,2,8.904568e-04,7.748291e-06,0
0.40,upper,0.825,2,8.200527e-04,1.224510e-04,0
0.40,upper,0.875,3,8.510943e-04,1.089993e-04,0
0.40,upper,0.925,2,8.314517e-04,3.666510e-05,0
0.40,upper,0.975,3,1.044351e-03,2.200711e-05,1
0.40,lower,0.025,6,5.833409e-04,7.496672e-05,0
0.40,lower,0.075,2,4.797959e-04,1.594258e-04,0
0.40,lower,0.125,2,7.558061e-04,4.449712e-05,0
0.40,lower,0.175,2,6.128097e-04,1.071763e-04,0
0.40,lower,0.225,2,6.538094e-04,3.466233e-05,0
0.40,lower,0.275,2,6.682298e-04,1.407908e-05,0
0.40,lower,0.325,3,6.162251e-04,4.410195e-05,0
0.40,lower,0.375,4,5.971167e-04,4.932041e-05,0
0.40,lower,0.425,4,6.957596e-04,5.351908e-05,0
0.40,lower,0.475,4,7.556048e-04,1.362082e-04,0
0.40,lower,0.525,4,6.228184e-04,1.208834e-04,0
