quantity,value,tolerance,gated,provenance
upper_shock_x_c,0.62,0.03,yes,"Euler anchor 0.60-0.63 (arXiv:2406.07441; Jameson & Ou PAS 2011 Fig 2a) + 0-2% conservative-FP aft shift (Holst PAS 2000); see README.md"
lower_shock_x_c,0.35,0.04,no,"Euler anchor ~35% chord, weak shock, reported only"
