dir,max_1e5,max_1e6,max_1e7,med_phi,med_gamma,med_BL,fallback_dropped
0,8.875e-02,7.906e-02,2.684e-01,1.178e-11,4.581e-12,0.000e+00,0
1,8.856e-02,7.871e-02,1.072e-02,3.029e-12,8.727e-12,0.000e+00,0
2,2.149e-01,7.908e-02,2.686e-01,1.596e-12,5.951e-12,0.000e+00,0
3,3.252e-02,7.794e-02,2.686e-01,7.342e-12,2.560e-11,0.000e+00,0
4,8.882e-02,7.897e-02,1.189e-05,4.302e-11,9.586e-12,0.000e+00,0
5,8.811e-02,7.878e-02,2.223e-05,2.454e-11,4.260e-12,0.000e+00,0
