iter,rung,wall_step,t_assembly,t_setup,t_linsolve,t_residual_share,n_inner,info,rel_res,lam,accepted,merit,f_phi_max,f_gamma_max,f_bl_max,ds_change
1,3,3.79,0.23,0.34,2.17,1.05,209,0,1.963e-09,0.0000,True,1.529209e-08,2.236e-05,1.804e-16,5.812e-06,4.021e-06
2,3,3.32,0.23,0.32,1.92,0.85,194,0,4.332e-10,0.0001,True,1.528987e-08,2.236e-05,5.274e-16,5.812e-06,4.115e-05
3,3,2.68,0.23,0.32,1.23,0.89,120,0,3.477e-09,0.0001,True,1.528956e-08,2.236e-05,1.402e-15,5.812e-06,1.010e-05
4,3,3.06,0.23,0.32,1.42,1.09,141,0,4.596e-10,0.0000,True,1.528941e-08,2.236e-05,1.416e-15,5.812e-06,2.543e-06
5,3,2.75,0.23,0.32,1.34,0.86,133,0,9.697e-10,0.0001,True,1.528862e-08,2.235e-05,1.762e-15,5.812e-06,1.784e-05
