seed,eval,eps,f_bl_max,window_lo,window_hi
T1,0,1.000000e-08,3.153842e-06,1.0e-04,1.0e-03
T1,1,1.000000e+04,3.219161e-01,1.0e-04,1.0e-03
T1,2,1.000000e-02,3.198567e-06,1.0e-04,1.0e-03
T1,3,1.000000e+01,1.711268e-04,1.0e-04,1.0e-03
