seed,eval,eps,f_bl_max,window_lo,window_hi
T1,0,1.000000e-08,1.823848e-06,1.0e-04,1.0e-03
T1,1,1.000000e+04,1.818830e-01,1.0e-04,1.0e-03
T1,2,1.000000e-02,1.838443e-06,1.0e-04,1.0e-03
T1,3,1.000000e+01,7.275273e-05,1.0e-04,1.0e-03
T1,4,3.162278e+02,4.277409e-03,1.0e-04,1.0e-03
T1,5,5.623413e+01,6.022058e-04,1.0e-04,1.0e-03
