key,value
level,medium
h_wall,0.015
h_far,3.0
h_wake,0.045
h_edge,0.0075
h_tip,0.00375
h_junction,0.0075
h_body,0.03
h_body_tip,0.00375
n_nodes,122535
n_tets,679391
min_dihedral_deg,9.748117452468563
max_aspect_ratio,5.334083983469533
fuselage_crease_p99_deg,10.37929216032265
fuselage_crease_max_deg,12.11902585324382
fuselage_crease_median_deg,1.7950790974037438
n_tris_wall,25112
n_tris_fuselage,10014
n_tris_farfield,791
n_tris_symmetry,13581
n_tris_wake,24780
n_wake_nodes,12868
wake_z_min,-1.830167357801715e-14
wake_z_max,1.1963
wake_x_max,16.5548031849291
n_tets_below_5deg,0
bad_tet_x_min,nan
bad_tet_x_med,nan
bad_tet_x_max,nan
cut_n_stations,149
cut_n_te_nodes,149
cut_n_free,352
cut_n_dup,12516
n_waterline_nodes,97
cut_ingest_s,13.350997772067785
