m,beta,H_falkner_skan,H_strip_march,H_algebraic_fixed_point,rel_err,settled
0.00000000,0.00000000,2.59110020,2.70732343,2.70829177,4.48547829e-02,0
0.04347826,0.08333333,2.49566437,2.46954658,2.46941099,-1.04652654e-02,1
1.00000000,1.00000000,2.21622944,2.08793267,2.08793267,-5.78896599e-02,1
