k,ds_max,ds_change_rel,ds_neg_floored,mdot_max,ibl_n_iter,ibl_converged,ibl_final_residual,inflow_n_pinned,cl_p,cl_kj,cd_p
0,,,,0.0,,,,,0.20855662771740874,0.21065866709193756,0.007359878935995911
1,0.004264471569070807,inf,0,0.10523801050809194,100,False,1.2795583492578216e-06,1568,0.2027346841364689,0.20533759003385466,0.007296079750799048
2,0.004252005042669406,0.10090527486788292,0,0.1211664812469165,100,False,1.2913423639233418e-06,,0.2025322083737927,0.20517077632679406,0.007197773435724662
3,0.00416848073722077,0.048548194941387846,0,0.11226987570224806,100,False,1.2406524231141065e-06,,0.20296947816964717,0.20561662082897034,0.007210458539118254
4,0.004119778763369428,0.044179207834286305,0,0.0974525921119886,100,False,1.4474653065795745e-06,,0.20336472019372462,0.2060181072806809,0.007232662322988687
5,0.004119909641797104,0.12451625968443163,0,0.08050130746625836,100,False,1.2655933092727914e-06,,0.2036673049145257,0.20633281733409833,0.007251640059839065
6,0.004126552512916893,0.02347180132714305,0,0.07012341043889027,100,False,1.2557017398420604e-06,,0.20384601471613206,0.2065154932996718,0.0072657782856447965
7,0.004155724835758177,0.023887357300861847,0,0.06477401673742748,100,False,1.1430265441399921e-06,,0.20385356371807523,0.20652888328078975,0.00726631821508392
8,0.004187478651081484,0.07196999231879504,0,0.062062163430705,100,False,1.3584228699262005e-06,,0.2037784346396106,0.2064593269896509,0.007261697588056944
9,0.00423741772622935,0.059457149834767506,0,0.0625643360985341,100,False,1.4844167479268438e-06,,0.20367986021691661,0.20636922000549648,0.007251400746416566
10,0.0042728082795223665,0.07008885662127258,0,0.06389308968364411,100,False,1.7984441767326735e-06,,0.20354036080928806,0.20623789350046937,0.007236883343586663
