iter,rung,wall_step,t_assembly,t_setup,t_linsolve,t_residual_share,n_inner,info,rel_res,lam,accepted,merit,f_phi_max,f_gamma_max,f_bl_max,ds_change
1,1,3.71,0.25,0.36,1.37,1.73,140,0,8.443e-09,0.0000,True,1.506319e-08,2.236e-05,2.845e-16,6.031e-06,3.326e-08
2,1,2.61,0.25,0.35,1.07,0.93,110,0,7.439e-09,0.0002,True,1.505492e-08,2.236e-05,1.119e-14,6.030e-06,1.923e-04
3,1,2.54,0.25,0.35,1.03,0.90,106,0,9.003e-09,0.0005,True,1.504629e-08,2.234e-05,4.141e-14,6.036e-06,2.574e-04
4,1,2.76,0.25,0.36,1.03,1.12,112,0,6.959e-09,0.0000,True,1.504608e-08,2.234e-05,4.093e-14,6.036e-06,1.284e-05
5,1,2.96,0.25,0.35,1.30,1.05,133,0,1.519e-09,0.0001,True,1.504601e-08,2.234e-05,4.170e-14,6.036e-06,2.863e-05
