iter,rung,wall_step,t_assembly,t_setup,t_linsolve,t_residual_share,n_inner,info,rel_res,lam,accepted,merit,f_phi_max,f_gamma_max,f_bl_max,ds_change
1,1,23.90,1.07,2.70,11.95,8.18,241,5,5.753e+04,0.0000,False,9.351391e-09,4.915e-05,1.804e-16,2.889e-06,2.891e-05
2,2,21.57,1.07,2.00,14.47,4.03,277,0,2.656e-08,0.0001,True,9.345303e-09,4.915e-05,1.618e-14,2.888e-06,5.220e-04
3,2,23.71,1.07,2.00,15.62,5.03,300,5,2.073e-07,0.0000,True,9.345285e-09,4.915e-05,1.567e-14,2.888e-06,1.012e-05
4,2,22.41,1.07,2.01,15.44,3.89,300,5,6.128e-05,0.0001,True,9.342537e-09,4.914e-05,5.699e-11,2.888e-06,2.448e-04
5,2,23.08,1.07,2.00,15.57,4.44,300,5,2.525e-06,0.0000,True,9.341992e-09,4.914e-05,5.603e-11,2.888e-06,1.621e-04
