x_c,cp,surface
0.000732,-0.377010,upper
0.002196,-0.473344,upper
0.004610,-1.308552,upper
0.007975,-1.482318,upper
0.011715,-1.484109,upper
0.015832,-1.536933,upper
0.020112,-1.467834,upper
0.024556,-1.490446,upper
0.029086,-1.414461,upper
0.033701,-1.363599,upper
0.038367,-1.317402,upper
0.043084,-1.320280,upper
0.047835,-1.235342,upper
0.052620,-1.239353,upper
0.057428,-1.196090,upper
0.062260,-1.193740,upper
0.067108,-1.132007,upper
0.071974,-1.131951,upper
0.076853,-1.093531,upper
0.081744,-1.091343,upper
0.086646,-1.053157,upper
0.091558,-1.051850,upper
0.096477,-1.018757,upper
0.101405,-1.017276,upper
0.106339,-0.984914,upper
0.111279,-0.984880,upper
0.116225,-0.954953,upper
0.121176,-0.954213,upper
0.126131,-0.927718,upper
0.131090,-0.928042,upper
0.136053,-0.902087,upper
0.141019,-0.901101,upper
0.145989,-0.876538,upper
0.150961,-0.877317,upper
0.155936,-0.856401,upper
0.160913,-0.851367,upper
0.165893,-0.833279,upper
0.170874,-0.835178,upper
0.175857,-0.809314,upper
0.180842,-0.810611,upper
0.185828,-0.793680,upper
0.190816,-0.789709,upper
0.195805,-0.773934,upper
0.200795,-0.774549,upper
0.205787,-0.753954,upper
0.210779,-0.755343,upper
0.215772,-0.735247,upper
0.220766,-0.736412,upper
0.225760,-0.720347,upper
0.230756,-0.719502,upper
0.235751,-0.703299,upper
0.240748,-0.702972,upper
0.245744,-0.687326,upper
0.250742,-0.686833,upper
0.255739,-0.671652,upper
0.260737,-0.670976,upper
0.265735,-0.656996,upper
0.270733,-0.656832,upper
0.275732,-0.641662,upper
0.280730,-0.642390,upper
0.285729,-0.626672,upper
0.290728,-0.627548,upper
0.295727,-0.613205,upper
0.300726,-0.612867,upper
0.305725,-0.599589,upper
0.310723,-0.599299,upper
0.315722,-0.586484,upper
0.320721,-0.585582,upper
0.325720,-0.572910,upper
0.330718,-0.572859,upper
0.335716,-0.559740,upper
0.340715,-0.560590,upper
0.345713,-0.546941,upper
0.350711,-0.547019,upper
0.355708,-0.535184,upper
0.360706,-0.534777,upper
0.365703,-0.523358,upper
0.370700,-0.522888,upper
0.375697,-0.511705,upper
0.380693,-0.511696,upper
0.385690,-0.498212,upper
0.390686,-0.498530,upper
0.395682,-0.487898,upper
0.400677,-0.487811,upper
0.405672,-0.476501,upper
0.410667,-0.476277,upper
0.415662,-0.464977,upper
0.420656,-0.464674,upper
0.425650,-0.454307,upper
0.430644,-0.454634,upper
0.435637,-0.443750,upper
0.440630,-0.443778,upper
0.445623,-0.432231,upper
0.450615,-0.432202,upper
0.455607,-0.422614,upper
0.460599,-0.422722,upper
0.465590,-0.411935,upper
0.470581,-0.412308,upper
0.475572,-0.401584,upper
0.480562,-0.402126,upper
0.485552,-0.392171,upper
0.490541,-0.391609,upper
0.495531,-0.381946,upper
0.500520,-0.381754,upper
0.505508,-0.372398,upper
0.510496,-0.371963,upper
0.515484,-0.362537,upper
0.520472,-0.362291,upper
0.525459,-0.352873,upper
0.530446,-0.353183,upper
0.535432,-0.343352,upper
0.540418,-0.343458,upper
0.545404,-0.334304,upper
0.550389,-0.334625,upper
0.555374,-0.324956,upper
0.560359,-0.324770,upper
0.565343,-0.315826,upper
0.570327,-0.315636,upper
0.575311,-0.306929,upper
0.580294,-0.305974,upper
0.585277,-0.297887,upper
0.590259,-0.298267,upper
0.595242,-0.288508,upper
0.600223,-0.288695,upper
0.605205,-0.280163,upper
0.610186,-0.280369,upper
0.615167,-0.270952,upper
0.620147,-0.270804,upper
0.625127,-0.262885,upper
0.630107,-0.262003,upper
0.635086,-0.253778,upper
0.640065,-0.254400,upper
0.645044,-0.244587,upper
0.650022,-0.244984,upper
0.655000,-0.236052,upper
0.659978,-0.236417,upper
0.664955,-0.227653,upper
0.669932,-0.227673,upper
0.674908,-0.219076,upper
0.679885,-0.219465,upper
0.684860,-0.210584,upper
0.689836,-0.210406,upper
0.694811,-0.201801,upper
0.699786,-0.201899,upper
0.704760,-0.193022,upper
0.709734,-0.193448,upper
0.714708,-0.184583,upper
0.719681,-0.184146,upper
0.724654,-0.175812,upper
0.729627,-0.175584,upper
0.734599,-0.167383,upper
0.739571,-0.167422,upper
0.744542,-0.157983,upper
0.749514,-0.157834,upper
0.754484,-0.148940,upper
0.759455,-0.149118,upper
0.764425,-0.140425,upper
0.769394,-0.140432,upper
0.774364,-0.130985,upper
0.779333,-0.131294,upper
0.784301,-0.121611,upper
0.789269,-0.121481,upper
0.794237,-0.112238,upper
0.799204,-0.112161,upper
0.804171,-0.102620,upper
0.809138,-0.102840,upper
0.814104,-0.092696,upper
0.819070,-0.092696,upper
0.824035,-0.082541,upper
0.829000,-0.082751,upper
0.833965,-0.072229,upper
0.838929,-0.072195,upper
0.843892,-0.061441,upper
0.848856,-0.061686,upper
0.853818,-0.050422,upper
0.858781,-0.050450,upper
0.863743,-0.038642,upper
0.868704,-0.039345,upper
0.873665,-0.026561,upper
0.878626,-0.026912,upper
0.883586,-0.014506,upper
