level,h_wall_median,n_nodes,phi_err_wall_max,cp_max,cp_mean
s3,0.15691819145568986,16050,3.814528e-02,0.1667,0.0661
s4,0.07240397000287818,125538,1.049492e-02,0.0589,0.0186
s5,0.0362284421427807,993474,2.669996e-03,0.0214,0.0053
