path,h_min,n_nodes,phi_err_wall_max,phi_err_all_max,cp_max,cp_mean,phi_err_argmax_radius
flat,0.08,16793,1.301941e-02,1.301941e-02,0.1156,0.0237,1.00
flat,0.05,48390,8.597188e-03,8.597188e-03,0.0734,0.0160,1.00
flat,0.03,178956,6.465204e-03,6.872810e-03,0.0558,0.0121,1.53
flat,0.02,540704,5.446522e-03,5.655920e-03,0.0429,0.0106,1.47
curved,0.08,16793,1.188788e-02,1.188788e-02,0.1133,0.0218,1.00
curved,0.05,48390,8.146798e-03,8.146798e-03,0.0726,0.0152,1.00
curved,0.03,178956,6.305079e-03,6.805551e-03,0.0551,0.0118,1.53
curved,0.02,540704,5.373084e-03,5.623422e-03,0.0427,0.0105,1.47
