station,side,x_over_c,cp
0.20,upper,0.0,0.4126169746051816
0.20,upper,0.004032982601178097,0.3459622195830179
0.20,upper,0.014357862434447435,-0.5669625392026368
0.20,upper,0.023564009268425924,-0.5200180259412281
0.20,upper,0.03449122785563002,-0.6547585255713647
0.20,upper,0.051691960873503494,-0.7429099940656051
0.20,upper,0.07333239119067231,-0.6105331124939721
0.20,upper,0.09496256038540933,-0.5916741863493419
0.20,upper,0.11520946606638899,-0.5110721272848125
0.20,upper,0.1358855424400263,-0.5047596957051239
0.20,upper,0.15615995963283394,-0.4618967429572653
0.20,upper,0.1768743279225948,-0.5282082307434395
0.20,upper,0.19719368647437022,-0.49222568074589407
0.20,upper,0.21796742777699427,-0.4922767210682185
0.20,upper,0.23828080423829556,-0.48547338459662454
0.20,upper,0.25905839639323053,-0.4834815739669285
0.20,upper,0.2793770238980146,-0.48373736628461417
0.20,upper,0.30016797999258,-0.4847844921496648
0.20,upper,0.3204921409879629,-0.4797194021936135
0.20,upper,0.3412898116853647,-0.49902841616935345
0.20,upper,0.36160416115209687,-0.49078218083504305
0.20,upper,0.3824223671324099,-0.4746838994104399
0.20,upper,0.4027383560908106,-0.46206732832787156
0.20,upper,0.4235351649609967,-0.4694057412308404
0.20,upper,0.4438539466871046,-0.4679235585595705
0.20,upper,0.46467548142179327,-0.44769868207987523
0.20,upper,0.484982005757909,-0.42730175534905696
0.20,upper,0.505754584385874,-0.4266036227706332
0.20,upper,0.5260503600385255,-0.3811743677257713
0.20,upper,0.5468260933431077,-0.3712484853780864
0.20,upper,0.5671145968460587,-0.337186206599239
0.20,upper,0.5878858214309413,-0.3239568875442155
0.20,upper,0.6081620937735495,-0.28899398101157403
0.20,upper,0.6289116327708046,-0.26830202981316
0.20,upper,0.649177496542867,-0.24666484890375842
0.20,upper,0.6699154089783895,-0.23572291514994664
0.20,upper,0.6901639394631383,-0.20703848090351804
0.20,upper,0.71088298171566,-0.19607859182242898
0.20,upper,0.7311495252788176,-0.15910698211335292
0.20,upper,0.7518649384884407,-0.14782471299603545
0.20,upper,0.7721065340671678,-0.13352094941920387
0.20,upper,0.7928055571255386,-0.11376725002962956
0.20,upper,0.8130522310557254,-0.08601025066470894
0.20,upper,0.8337960890474538,-0.08060342530379029
0.20,upper,0.8540609700449046,-0.04204414263865187
0.20,upper,0.8747268829590449,-0.015855024204458612
0.20,upper,0.8951620738378978,0.017857681624837717
0.20,upper,0.9172932386181049,0.05081508222366749
0.20,upper,0.9392025091746188,0.09739933122377369
0.20,upper,0.9533345628380474,0.15070645505016012
0.20,upper,0.966132836299546,0.15333465461207757
0.20,upper,0.9736799115032007,0.21384557922938133
0.20,upper,0.9830799290647982,0.21132163905503926
0.20,upper,0.9895247903020228,0.29315743407417905
0.20,upper,0.9983603448836871,0.2107716218292442
0.20,lower,6.645593881251345e-05,0.811130787737468
0.20,lower,0.004144998902672172,0.7363217244118665
0.20,lower,0.012524010700047872,0.25556484713072775
0.20,lower,0.021550012774961727,0.361142253512237
0.20,lower,0.029812742074545494,0.03982292305111215
0.20,lower,0.043201512408379224,0.053720847338736825
0.20,lower,0.05424856425174477,0.005386664933052166
0.20,lower,0.07341155675205736,0.021026463920326758
0.20,lower,0.09703523162329299,-0.030880978423446795
0.20,lower,0.11635734514507816,-0.04194569701061516
0.20,lower,0.1385150788186068,-0.06803048697184147
0.20,lower,0.15777036662293287,-0.05716899038130116
0.20,lower,0.17997694881972384,-0.09000032664925406
0.20,lower,0.1993373804443525,-0.0919194021948879
0.20,lower,0.2216230134699072,-0.11590950740622857
0.20,lower,0.240963782188404,-0.1267717993177396
0.20,lower,0.26140361285026603,-0.1330180454033622
