station,side,x_over_c,cp
0.20,upper,0.0,0.43681784465845475
0.20,upper,0.004032982601178097,0.36553944202536826
0.20,upper,0.014357862434447435,-0.5005938086759973
0.20,upper,0.023564009268425924,-0.45528446996116395
0.20,upper,0.03449122785563002,-0.6132127809238106
0.20,upper,0.051691960873503494,-0.6979183007138391
0.20,upper,0.07333239119067231,-0.6042716892108624
0.20,upper,0.09496256038540933,-0.5824702175089387
0.20,upper,0.11520946606638899,-0.5220740324218561
0.20,upper,0.1358855424400263,-0.5109515713574581
0.20,upper,0.15615995963283394,-0.4627892019052449
0.20,upper,0.1768743279225948,-0.5354195980520776
0.20,upper,0.19719368647437022,-0.5050767794871587
0.20,upper,0.21796742777699427,-0.5170710780242291
0.20,upper,0.23828080423829556,-0.5124140063372092
0.20,upper,0.25905839639323053,-0.512749197648052
0.20,upper,0.2793770238980146,-0.5198651322275194
0.20,upper,0.30016797999258,-0.524053036078123
0.20,upper,0.3204921409879629,-0.5211235365272124
0.20,upper,0.3412898116853647,-0.5423905629124067
0.20,upper,0.36160416115209687,-0.5377386409352383
0.20,upper,0.3824223671324099,-0.5302356000680094
0.20,upper,0.4027383560908106,-0.5265722979840421
0.20,upper,0.4235351649609967,-0.5400681991465932
0.20,upper,0.4438539466871046,-0.5411143779666989
0.20,upper,0.46467548142179327,-0.5160676488738075
0.20,upper,0.484982005757909,-0.5044285542659823
0.20,upper,0.505754584385874,-0.5094545823819726
0.20,upper,0.5260503600385255,-0.4717215894877711
0.20,upper,0.5468260933431077,-0.4569906129460863
0.20,upper,0.5671145968460587,-0.41430775109754453
0.20,upper,0.5878858214309413,-0.39720064383674836
0.20,upper,0.6081620937735495,-0.3451277051748506
0.20,upper,0.6289116327708046,-0.3065610778465611
0.20,upper,0.649177496542867,-0.2625183318856344
0.20,upper,0.6699154089783895,-0.24385245808574949
0.20,upper,0.6901639394631383,-0.2065338015457242
0.20,upper,0.71088298171566,-0.1936740137262413
0.20,upper,0.7311495252788176,-0.15430372053575053
0.20,upper,0.7518649384884407,-0.14264881336739205
