station,side,x_over_c,cp
0.20,upper,0.0,0.6899456693986835
0.20,upper,0.004319208457968116,0.5809291530792347
0.20,upper,0.011842472300029045,-0.10941374044259089
0.20,upper,0.02631389035000463,-0.17390797169232455
0.20,upper,0.04128754645961583,-0.38329243789893
0.20,upper,0.052651791793070855,-0.2515032350345097
0.20,upper,0.06946441908860697,-0.30600645216382755
0.20,upper,0.08722033405706005,-0.28230003188310676
0.20,upper,0.10548255378160624,-0.29275343671104376
0.20,upper,0.12858521129028566,-0.24269181932157266
0.20,upper,0.1462695173751908,-0.26111918483189633
0.20,upper,0.154742877397291,-0.25429206735214105
0.20,upper,0.1724517767224664,-0.25205683890081343
0.20,upper,0.204107067904212,-0.24346192776882664
0.20,upper,0.22182923633501347,-0.24485675762861325
0.20,upper,0.22190103050084906,-0.2548137999884546
0.20,upper,0.23963169798361564,-0.24867931343446154
0.20,upper,0.2714316957414151,-0.265007846881198
0.20,upper,0.28917238421902186,-0.25019256139356927
0.20,upper,0.2973254309711231,-0.2551164518480047
0.20,upper,0.3150152578080772,-0.24960336811613795
0.20,upper,0.3387342866432975,-0.2762291860533871
0.20,upper,0.35651146451535737,-0.27545041135671544
0.20,upper,0.3724557213017284,-0.2881735388067703
0.20,upper,0.3902261273996354,-0.2883837332440413
0.20,upper,0.4065898989823944,-0.30020102893061
0.20,upper,0.4243210411365101,-0.28334767295097285
0.20,upper,0.44846690212746304,-0.3025029956678383
0.20,upper,0.4662206957444994,-0.29512718712022007
0.20,upper,0.4734684272627087,-0.2830722083705305
0.20,upper,0.4912018246228373,-0.27353688481780236
0.20,upper,0.5230450274372807,-0.28472027517947684
0.20,upper,0.5407723485166772,-0.2595682440254006
0.20,upper,0.5416845286939471,-0.2630553363180991
0.20,upper,0.5593987356266169,-0.2620039843762087
0.20,upper,0.5902909549934591,-0.24678160899591942
0.20,upper,0.607997636801943,-0.23168525576901827
0.20,upper,0.6168600286784494,-0.22539310500644047
0.20,upper,0.6345174667199096,-0.22098270542791923
0.20,upper,0.6576376546884616,-0.20586140855406843
0.20,upper,0.6754063560520376,-0.1972985092271029
0.20,upper,0.6924505579659264,-0.17613273662085038
0.20,upper,0.7100948910356358,-0.17789754436912986
0.20,upper,0.7247217704979475,-0.1628507648398792
0.20,upper,0.7421661180647853,-0.15615444851805227
0.20,upper,0.7673073265343049,-0.13433392171207467
0.20,upper,0.7852012674004851,-0.13210394548484622
0.20,upper,0.7916078152141613,-0.11364749465217316
0.20,upper,0.8092769598931924,-0.11128696638491731
0.20,upper,0.8409384352629007,-0.077516098177048
0.20,upper,0.8585777007773355,-0.06844144926402772
0.20,upper,0.8605807617559083,-0.04913686315593527
0.20,upper,0.878119423798656,-0.051349664487165825
0.20,upper,0.9071973577042446,0.008153483761473857
