path,alpha,level,eta,side,x_over_c,cp
conforming,0.0,xcoarse,0.20,upper,0.03308,-0.132381
conforming,0.0,xcoarse,0.20,upper,0.03346,-0.133342
conforming,0.0,xcoarse,0.20,upper,0.03383,-0.134302
conforming,0.0,xcoarse,0.20,upper,0.03421,-0.135262
conforming,0.0,xcoarse,0.20,upper,0.03459,-0.136223
conforming,0.0,xcoarse,0.20,upper,0.03496,-0.137183
conforming,0.0,xcoarse,0.20,upper,0.03534,-0.138144
conforming,0.0,xcoarse,0.20,upper,0.03571,-0.139104
conforming,0.0,xcoarse,0.20,upper,0.03609,-0.140064
conforming,0.0,xcoarse,0.20,upper,0.03647,-0.141025
conforming,0.0,xcoarse,0.20,upper,0.03684,-0.141985
conforming,0.0,xcoarse,0.20,upper,0.03722,-0.142946
conforming,0.0,xcoarse,0.20,upper,0.03759,-0.143906
conforming,0.0,xcoarse,0.20,upper,0.03797,-0.144867
conforming,0.0,xcoarse,0.20,upper,0.03835,-0.145827
conforming,0.0,xcoarse,0.20,upper,0.03872,-0.146787
conforming,0.0,xcoarse,0.20,upper,0.03910,-0.147748
conforming,0.0,xcoarse,0.20,upper,0.03947,-0.148708
conforming,0.0,xcoarse,0.20,upper,0.03985,-0.149669
conforming,0.0,xcoarse,0.20,upper,0.04023,-0.150629
conforming,0.0,xcoarse,0.20,upper,0.04060,-0.151589
conforming,0.0,xcoarse,0.20,upper,0.04098,-0.152550
conforming,0.0,xcoarse,0.20,upper,0.04135,-0.153510
conforming,0.0,xcoarse,0.20,upper,0.04173,-0.154471
conforming,0.0,xcoarse,0.20,upper,0.04211,-0.155431
conforming,0.0,xcoarse,0.20,upper,0.04248,-0.156392
conforming,0.0,xcoarse,0.20,upper,0.04286,-0.157352
conforming,0.0,xcoarse,0.20,upper,0.04323,-0.158312
conforming,0.0,xcoarse,0.20,upper,0.04361,-0.159273
conforming,0.0,xcoarse,0.20,upper,0.04398,-0.160233
conforming,0.0,xcoarse,0.20,upper,0.04436,-0.161194
conforming,0.0,xcoarse,0.20,upper,0.04474,-0.162154
conforming,0.0,xcoarse,0.20,upper,0.04511,-0.163114
conforming,0.0,xcoarse,0.20,upper,0.04549,-0.164075
conforming,0.0,xcoarse,0.20,upper,0.04586,-0.165035
conforming,0.0,xcoarse,0.20,upper,0.04624,-0.165978
conforming,0.0,xcoarse,0.20,upper,0.04662,-0.166817
conforming,0.0,xcoarse,0.20,upper,0.04699,-0.167657
conforming,0.0,xcoarse,0.20,upper,0.04737,-0.168497
conforming,0.0,xcoarse,0.20,upper,0.04774,-0.169337
conforming,0.0,xcoarse,0.20,upper,0.04812,-0.170177
conforming,0.0,xcoarse,0.20,upper,0.04850,-0.171017
conforming,0.0,xcoarse,0.20,upper,0.04887,-0.171856
conforming,0.0,xcoarse,0.20,upper,0.04925,-0.172696
conforming,0.0,xcoarse,0.20,upper,0.04962,-0.173536
conforming,0.0,xcoarse,0.20,upper,0.05000,-0.174376
conforming,0.0,xcoarse,0.20,upper,0.05038,-0.175216
conforming,0.0,xcoarse,0.20,upper,0.05075,-0.176056
conforming,0.0,xcoarse,0.20,upper,0.05113,-0.176895
conforming,0.0,xcoarse,0.20,upper,0.05150,-0.177735
conforming,0.0,xcoarse,0.20,upper,0.05188,-0.178575
conforming,0.0,xcoarse,0.20,upper,0.05226,-0.179415
conforming,0.0,xcoarse,0.20,upper,0.05263,-0.180255
conforming,0.0,xcoarse,0.20,upper,0.05301,-0.181095
conforming,0.0,xcoarse,0.20,upper,0.05338,-0.181934
conforming,0.0,xcoarse,0.20,upper,0.05376,-0.182774
conforming,0.0,xcoarse,0.20,upper,0.05414,-0.183614
conforming,0.0,xcoarse,0.20,upper,0.05451,-0.184454
conforming,0.0,xcoarse,0.20,upper,0.05489,-0.185294
conforming,0.0,xcoarse,0.20,upper,0.05526,-0.186134
conforming,0.0,xcoarse,0.20,upper,0.05564,-0.186973
conforming,0.0,xcoarse,0.20,upper,0.05602,-0.187813
conforming,0.0,xcoarse,0.20,upper,0.05639,-0.188653
