state,geom,m_inf,phi_sha,n_j1,D_pc_P0,D_pc_P1,D_pc_P2,D_pc_P3,D_pc_S1,D_pc_S2,D_pc_S3,D_sc_P0,D_sc_P1,D_sc_P2,D_sc_P3,D_sc_S1,D_sc_S2,D_sc_S3,kpos_pc,kpos_sc
W M0.76,wing,0.76,f48370db9e10,7,0.065542,0.027192,0.028859,0.0137,0.018627,0.02173,0.016745,0.065724,0.027376,0.028879,0.013738,0.018664,0.022095,0.016586,P3,P3
W M0.78,wing,0.78,ec74b4e78663,7,0.025349,0.018533,0.028883,0.030233,0.035254,0.033578,0.030233,0.025364,0.018533,0.028878,0.030233,0.033796,0.033552,0.030235,P1,P1
W M0.80,wing,0.8,2ac55955973a,7,0.015199,0.009051,0.015308,0.012385,0.009549,0.009549,0.00814,0.015221,0.00916,0.014912,0.012377,0.009708,0.009617,0.00814,P1,P1
W M0.82,wing,0.82,617235784436,7,0.036916,0.006154,0.006418,0.003895,0.013074,0.006154,0.011186,0.036974,0.005105,0.006298,0.00589,0.013011,0.006111,0.010873,P3,P1
W M0.8395,wing,0.8395,1c2d464b4629,7,0.013211,0.016887,0.0055,0.0055,0.013024,0.013211,0.013211,0.013176,0.014044,0.004859,0.00486,0.013023,0.013142,0.013159,P2,P2
W M0.86,wing,0.86,1ed066b98395,7,0.014047,0.004509,0.004509,0.004509,0.004509,0.004509,0.004509,0.014107,0.004355,0.004424,0.004455,0.004337,0.004396,0.004419,P1,P1
W M0.88,wing,0.88,3b81dcbb9243,7,0.012026,0.002273,0.012026,0.002273,0.002273,0.002855,0.01516,0.011927,0.00245,0.012021,0.002302,0.002522,0.00226,0.012485,P1,P3
WB M0.78,wingbody,0.78,7f6365afae37,7,0.024477,0.024477,0.031214,0.017113,0.018792,0.024541,0.029765,0.024769,0.0247,0.031238,0.019034,0.0189,0.024595,0.029686,P3,P3
WB M0.82,wingbody,0.82,0205eb9dd81e,7,0.024957,0.013699,0.006659,0.007397,0.012385,0.007286,0.006659,0.02496,0.013949,0.006413,0.006666,0.012967,0.006789,0.006147,P2,P2
WB M0.86,wingbody,0.86,f4cb1db9a8d9,7,0.004643,0.010356,0.012015,0.019983,0.010834,0.012015,0.012015,0.003385,0.008872,0.012009,0.019983,0.010587,0.011982,0.012013,P0,P0
WB M0.88,wingbody,0.88,e9e3960bbbf1,7,0.005269,0.003774,0.00319,0.006362,0.003774,0.003774,0.013099,0.005257,0.003699,0.004961,0.006165,0.003726,0.003714,0.01296,P2,P1
WB xcoarse,wingbody,0.88,99cdc2b49c65,7,0.019182,0.019182,0.023125,0.026417,0.023125,0.023125,0.027232,0.018994,0.019019,0.023015,0.025156,0.022965,0.023027,0.025639,P0,P0
WB medium,wingbody,0.88,6e031ae359a0,7,0.0067,0.0067,0.004351,0.0067,0.0067,0.0067,0.007387,0.006211,0.006013,0.004349,0.006433,0.006015,0.005986,0.006785,P2,P2
