request,case,geometry,model,turb_model,level,mach,alpha_deg,re_chord,x_tr,x_tr_actual,nj,nk,n_surface_cells,h1_wall,yplus_avg,yplus_max,cl,cd,cd_pressure,cd_friction,cm_quarter_chord,resid_final,resid_decades,ncyc_total,recipe,status,wall_s,keywords,laminar_echo,forcezero_echo,note
R-4,n0012_m0352_a12.86,naca0012,rans,sa,L1,0.3520,12.8600,3.0000e+06,,,281,97,200,8.7276e-06,1.080,2.650,1.299104,0.039408,0.034601,0.004806,-0.026027,2.678524e-07,1.66,6000,cfl0.05x20_nitfo1500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,"NEAR STALL -- widest model spread, deliberately NOT gate material"
R-4,n0012_m0352_a12.86,naca0012,rans,sa,L2,0.3520,12.8600,3.0000e+06,,,393,129,280,8.7276e-06,1.070,2.680,1.355808,0.040615,0.035864,0.004752,-0.023548,1.691036e-07,1.65,6000,cfl0.05x20_nitfo1500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,"NEAR STALL -- widest model spread, deliberately NOT gate material"
R-4,n0012_m0352_a12.86,naca0012,rans,sa,L3,0.3520,12.8600,3.0000e+06,,,561,161,400,8.7276e-06,1.090,2.700,1.370377,0.039631,0.034750,0.004881,-0.025238,1.481476e-07,1.57,6000,cfl0.05x20_nitfo1500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,"NEAR STALL -- widest model spread, deliberately NOT gate material"
R-4,n0012_m0352_a12.86,naca0012,rans,sst,L1,0.3520,12.8600,3.0000e+06,,,281,97,200,8.7276e-06,0.993,2.590,1.200049,0.040667,0.036592,0.004074,-0.028904,2.778121e-07,1.64,6000,cfl0.05x20_nitfo1500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,"NEAR STALL -- widest model spread, deliberately NOT gate material"
R-4,n0012_m0352_a12.86,naca0012,rans,sst,L2,0.3520,12.8600,3.0000e+06,,,393,129,280,8.7276e-06,0.999,2.600,1.232220,0.038328,0.034286,0.004042,-0.030594,1.865019e-07,1.59,6000,cfl0.05x20_nitfo1500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,"NEAR STALL -- widest model spread, deliberately NOT gate material"
R-4,n0012_m0352_a12.86,naca0012,rans,sst,L3,0.3520,12.8600,3.0000e+06,,,561,161,400,8.7276e-06,1.010,2.600,1.249896,0.036798,0.032685,0.004114,-0.032516,1.611492e-07,1.52,6000,cfl0.05x20_nitfo1500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,"NEAR STALL -- widest model spread, deliberately NOT gate material"
R-1,n0012_m0500_a2.00_xtr005,naca0012,rans,sa,L1,0.5000,2.0000,3.0000e+06,0.0500,0.052435,281,97,200,8.7276e-06,1.130,1.750,0.257371,0.009956,0.002199,0.007757,-0.001420,1.055850e-09,3.61,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j28-45_k1-25,0,trip 0.05 -- pairs with naca0012_viscous_xfoil xtr005 (XFOIL/RANS/us)
R-1,n0012_m0500_a2.00_xtr005,naca0012,rans,sa,L2,0.5000,2.0000,3.0000e+06,0.0500,0.051795,393,129,280,8.7276e-06,1.130,1.750,0.257095,0.009915,0.002131,0.007784,-0.001494,9.065401e-10,3.46,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j39-62_k1-33,0,trip 0.05 -- pairs with naca0012_viscous_xfoil xtr005 (XFOIL/RANS/us)
R-1,n0012_m0500_a2.00_xtr005,naca0012,rans,sa,L3,0.5000,2.0000,3.0000e+06,0.0500,0.050219,561,161,400,8.7276e-06,1.140,1.750,0.256885,0.009899,0.002097,0.007802,-0.001540,5.966439e-10,3.46,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j55-88_k1-41,0,trip 0.05 -- pairs with naca0012_viscous_xfoil xtr005 (XFOIL/RANS/us)
R-1,n0012_m0500_a2.00_xtr005,naca0012,rans,sst,L1,0.5000,2.0000,3.0000e+06,0.0500,0.052435,281,97,200,8.7276e-06,1.080,1.750,0.250511,0.009102,0.002167,0.006935,-0.002837,8.971166e-10,3.67,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j28-45_k1-25,0,trip 0.05 -- pairs with naca0012_viscous_xfoil xtr005 (XFOIL/RANS/us)
R-1,n0012_m0500_a2.00_xtr005,naca0012,rans,sst,L2,0.5000,2.0000,3.0000e+06,0.0500,0.051795,393,129,280,8.7276e-06,1.080,1.750,0.250146,0.009036,0.002096,0.006940,-0.002933,8.053534e-10,3.50,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j39-62_k1-33,0,trip 0.05 -- pairs with naca0012_viscous_xfoil xtr005 (XFOIL/RANS/us)
R-1,n0012_m0500_a2.00_xtr005,naca0012,rans,sst,L3,0.5000,2.0000,3.0000e+06,0.0500,0.050219,561,161,400,8.7276e-06,1.080,1.750,0.250039,0.009004,0.002061,0.006943,-0.002959,5.423993e-10,3.48,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j55-88_k1-41,0,trip 0.05 -- pairs with naca0012_viscous_xfoil xtr005 (XFOIL/RANS/us)
R-1,n0012_m0500_a2.00_xtr030,naca0012,rans,sa,L1,0.5000,2.0000,3.0000e+06,0.3000,0.300625,281,97,200,8.7276e-06,0.987,1.750,0.266483,0.007908,0.001586,0.006322,-0.000222,8.989984e-10,3.68,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j22-51_k1-25,0,trip 0.30 -- pairs with naca0012_viscous_xfoil xtr030
R-1,n0012_m0500_a2.00_xtr030,naca0012,rans,sa,L2,0.5000,2.0000,3.0000e+06,0.3000,0.305105,393,129,280,8.7276e-06,0.985,1.760,0.266193,0.007807,0.001500,0.006306,-0.000301,7.546966e-10,3.54,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j30-71_k1-33,0,trip 0.30 -- pairs with naca0012_viscous_xfoil xtr030
R-1,n0012_m0500_a2.00_xtr030,naca0012,rans,sa,L3,0.5000,2.0000,3.0000e+06,0.3000,0.300625,561,161,400,8.7276e-06,0.986,1.760,0.265777,0.007814,0.001466,0.006348,-0.000377,5.223218e-10,3.51,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j42-101_k1-41,0,trip 0.30 -- pairs with naca0012_viscous_xfoil xtr030
R-1,n0012_m0500_a2.00_xtr030,naca0012,rans,sst,L1,0.5000,2.0000,3.0000e+06,0.3000,0.300625,281,97,200,8.7276e-06,0.952,1.750,0.262085,0.007103,0.001571,0.005531,-0.001175,8.298258e-10,3.70,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j22-51_k1-25,0,trip 0.30 -- pairs with naca0012_viscous_xfoil xtr030
R-1,n0012_m0500_a2.00_xtr030,naca0012,rans,sst,L2,0.5000,2.0000,3.0000e+06,0.3000,0.305105,393,129,280,8.7276e-06,0.948,1.750,0.261606,0.006949,0.001479,0.005470,-0.001303,6.488623e-10,3.60,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j30-71_k1-33,0,trip 0.30 -- pairs with naca0012_viscous_xfoil xtr030
R-1,n0012_m0500_a2.00_xtr030,naca0012,rans,sst,L3,0.5000,2.0000,3.0000e+06,0.3000,0.300625,561,161,400,8.7276e-06,0.948,1.760,0.261178,0.006910,0.001439,0.005471,-0.001387,4.391721e-10,3.57,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j42-101_k1-41,0,trip 0.30 -- pairs with naca0012_viscous_xfoil xtr030
R-2,n0012_m0778_a2.03,naca0012,rans,sa,L1,0.7780,2.0300,6.0000e+06,,,281,97,200,4.6770e-06,0.968,1.420,0.413929,0.030476,0.024175,0.006301,0.013929,1.011592e-08,3.33,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,fully turbulent; same condition as naca0012_experiment M0.778
R-2,n0012_m0778_a2.03,naca0012,rans,sa,L2,0.7780,2.0300,6.0000e+06,,,393,129,280,4.6770e-06,0.967,1.410,0.422484,0.030850,0.024508,0.006343,0.015899,4.763216e-09,3.45,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,fully turbulent; same condition as naca0012_experiment M0.778
R-2,n0012_m0778_a2.03,naca0012,rans,sa,L3,0.7780,2.0300,6.0000e+06,,,561,161,400,4.6770e-06,0.965,1.410,0.428877,0.031167,0.024804,0.006363,0.017445,1.869319e-09,3.66,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,fully turbulent; same condition as naca0012_experiment M0.778
R-2,n0012_m0778_a2.03,naca0012,rans,sst,L1,0.7780,2.0300,6.0000e+06,,,281,97,200,4.6770e-06,0.907,1.400,0.332325,0.025884,0.020513,0.005371,-0.002472,6.649566e-09,3.42,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,fully turbulent; same condition as naca0012_experiment M0.778
R-2,n0012_m0778_a2.03,naca0012,rans,sst,L2,0.7780,2.0300,6.0000e+06,,,393,129,280,4.6770e-06,0.906,1.400,0.339299,0.026100,0.020715,0.005385,-0.001041,4.465264e-09,3.38,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,fully turbulent; same condition as naca0012_experiment M0.778
R-2,n0012_m0778_a2.03,naca0012,rans,sst,L3,0.7780,2.0300,6.0000e+06,,,561,161,400,4.6770e-06,0.904,1.400,0.342969,0.026218,0.020830,0.005388,-0.000302,2.538640e-09,3.44,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,fully turbulent; same condition as naca0012_experiment M0.778
R-3,n0012_m0803_am0.10,naca0012,rans,sa,L1,0.8030,-0.1000,6.5000e+06,,,281,97,200,4.3519e-06,0.965,1.360,-0.023444,0.018322,0.012015,0.006307,-0.001752,6.613187e-08,2.08,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,fully turbulent; same condition as naca0012_experiment M0.803
R-3,n0012_m0803_am0.10,naca0012,rans,sa,L2,0.8030,-0.1000,6.5000e+06,,,393,129,280,4.3519e-06,0.965,1.350,-0.025100,0.018242,0.011881,0.006361,-0.002119,4.576756e-08,1.95,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,fully turbulent; same condition as naca0012_experiment M0.803
R-3,n0012_m0803_am0.10,naca0012,rans,sa,L3,0.8030,-0.1000,6.5000e+06,,,561,161,400,4.3519e-06,0.963,1.330,-0.025181,0.018215,0.011833,0.006383,-0.002135,3.066697e-08,1.89,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,fully turbulent; same condition as naca0012_experiment M0.803
R-3,n0012_m0803_am0.10,naca0012,rans,sst,L1,0.8030,-0.1000,6.5000e+06,,,281,97,200,4.3519e-06,0.903,1.270,-0.018829,0.017673,0.012243,0.005430,-0.000819,2.349996e-07,1.52,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,fully turbulent; same condition as naca0012_experiment M0.803
R-3,n0012_m0803_am0.10,naca0012,rans,sst,L2,0.8030,-0.1000,6.5000e+06,,,393,129,280,4.3519e-06,0.902,1.270,-0.019314,0.017585,0.012123,0.005462,-0.000928,1.474561e-07,1.42,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,fully turbulent; same condition as naca0012_experiment M0.803
R-3,n0012_m0803_am0.10,naca0012,rans,sst,L3,0.8030,-0.1000,6.5000e+06,,,561,161,400,4.3519e-06,0.900,1.270,-0.019796,0.017565,0.012084,0.005481,-0.001035,8.618604e-08,1.42,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,none,0,fully turbulent; same condition as naca0012_experiment M0.803
