case,level,quantity,sst,sa,spread,rel_spread,coverage
n0012_m0352_a12.86,L1,cd,0.040667,0.039408,0.001259,3.0959%,both
n0012_m0352_a12.86,L1,cd_friction,0.004074,0.004806,0.000732,15.2310%,both
n0012_m0352_a12.86,L1,cd_pressure,0.036592,0.034601,0.001991,5.4411%,both
n0012_m0352_a12.86,L1,cl,1.200049,1.299104,0.099055,7.6249%,both
n0012_m0352_a12.86,L1,cm_quarter_chord,-0.028904,-0.026027,0.002877,9.9536%,both
n0012_m0352_a12.86,L1,x_shock_upper,0.020811,0.022200,0.001389,6.2568%,both
n0012_m0352_a12.86,L2,cd,0.038328,0.040615,0.002287,5.6309%,both
n0012_m0352_a12.86,L2,cd_friction,0.004042,0.004752,0.000710,14.9411%,both
n0012_m0352_a12.86,L2,cd_pressure,0.034286,0.035864,0.001578,4.4000%,both
n0012_m0352_a12.86,L2,cl,1.232220,1.355808,0.123588,9.1154%,both
n0012_m0352_a12.86,L2,cm_quarter_chord,-0.030594,-0.023548,0.007046,23.0307%,both
n0012_m0352_a12.86,L2,x_shock_upper,0.022837,0.025362,0.002525,9.9558%,both
n0012_m0352_a12.86,L3,cd,0.036798,0.039631,0.002833,7.1484%,both
n0012_m0352_a12.86,L3,cd_friction,0.004114,0.004881,0.000767,15.7140%,both
n0012_m0352_a12.86,L3,cd_pressure,0.032685,0.034750,0.002065,5.9424%,both
n0012_m0352_a12.86,L3,cl,1.249896,1.370377,0.120481,8.7918%,both
n0012_m0352_a12.86,L3,cm_quarter_chord,-0.032516,-0.025238,0.007278,22.3828%,both
n0012_m0352_a12.86,L3,x_shock_upper,0.024218,0.026708,0.002490,9.3230%,both
n0012_m0500_a2.00_xtr005,L1,cd,0.009102,0.009956,0.000854,8.5777%,both
n0012_m0500_a2.00_xtr005,L1,cd_friction,0.006935,0.007757,0.000822,10.5969%,both
n0012_m0500_a2.00_xtr005,L1,cd_pressure,0.002167,0.002199,0.000032,1.4552%,both
n0012_m0500_a2.00_xtr005,L1,cl,0.250511,0.257371,0.006860,2.6654%,both
n0012_m0500_a2.00_xtr005,L1,cm_quarter_chord,-0.002837,-0.001420,0.001417,49.9471%,both
n0012_m0500_a2.00_xtr005,L2,cd,0.009036,0.009915,0.000879,8.8654%,both
n0012_m0500_a2.00_xtr005,L2,cd_friction,0.006940,0.007784,0.000844,10.8428%,both
n0012_m0500_a2.00_xtr005,L2,cd_pressure,0.002096,0.002131,0.000035,1.6424%,both
n0012_m0500_a2.00_xtr005,L2,cl,0.250146,0.257095,0.006949,2.7029%,both
n0012_m0500_a2.00_xtr005,L2,cm_quarter_chord,-0.002933,-0.001494,0.001439,49.0624%,both
n0012_m0500_a2.00_xtr005,L3,cd,0.009004,0.009899,0.000895,9.0413%,both
n0012_m0500_a2.00_xtr005,L3,cd_friction,0.006943,0.007802,0.000859,11.0100%,both
n0012_m0500_a2.00_xtr005,L3,cd_pressure,0.002061,0.002097,0.000036,1.7167%,both
n0012_m0500_a2.00_xtr005,L3,cl,0.250039,0.256885,0.006846,2.6650%,both
n0012_m0500_a2.00_xtr005,L3,cm_quarter_chord,-0.002959,-0.001540,0.001419,47.9554%,both
