case,model,turb_model,level,mach,surface,has_shock,x_shock,n_cells,monotone,cp_min,cp_pre_shock,cp_post_shock,cp_critical
n0012_m0778_a2.03,rans,sa,L1,0.7780,upper,1,0.565670,4,1,-1.219341,-1.106893,-0.219290,-0.500201
n0012_m0778_a2.03,rans,sa,L1,0.7780,lower,0,,0,1,-0.412727,,,-0.500201
n0012_m0778_a2.03,rans,sa,L2,0.7780,upper,1,0.566352,6,1,-1.223971,-1.155718,-0.233967,-0.500201
n0012_m0778_a2.03,rans,sa,L2,0.7780,lower,0,,0,1,-0.409074,,,-0.500201
n0012_m0778_a2.03,rans,sa,L3,0.7780,upper,1,0.568405,9,1,-1.228284,-1.198092,-0.237378,-0.500201
n0012_m0778_a2.03,rans,sa,L3,0.7780,lower,0,,0,1,-0.406351,,,-0.500201
n0012_m0778_a2.03,rans,sa,L4,0.7780,upper,1,0.569650,13,1,-1.230935,-1.218697,-0.240256,-0.500201
n0012_m0778_a2.03,rans,sa,L4,0.7780,lower,0,,0,1,-0.404352,,,-0.500201
n0012_m0778_a2.03,rans,sst,L1,0.7780,upper,1,0.527317,13,1,-1.182404,-0.838197,-0.339215,-0.500201
n0012_m0778_a2.03,rans,sst,L1,0.7780,lower,0,,0,1,-0.451675,,,-0.500201
n0012_m0778_a2.03,rans,sst,L2,0.7780,upper,1,0.532373,29,1,-1.187854,-0.766915,-0.347553,-0.500201
n0012_m0778_a2.03,rans,sst,L2,0.7780,lower,0,,0,1,-0.448438,,,-0.500201
n0012_m0778_a2.03,rans,sst,L3,0.7780,upper,1,0.537206,46,1,-1.191253,-0.704806,-0.342734,-0.500201
n0012_m0778_a2.03,rans,sst,L3,0.7780,lower,0,,0,1,-0.446724,,,-0.500201
n0012_m0778_a2.03,rans,sst,L4,0.7780,upper,1,0.539282,60,1,-1.193288,-0.685491,-0.337175,-0.500201
n0012_m0778_a2.03,rans,sst,L4,0.7780,lower,0,,0,1,-0.446030,,,-0.500201
