level,n_nodes,n_wall,relmax,relmax_wall,relL2,n_cg,residual
coarse,2412,126,0.021572328728791806,0.021572328728791806,0.005491008259019225,97,1.2913187751112405e-14
medium,5956,252,0.006873821729443397,0.006873821729443397,0.002331582529470931,165,5.7765605815979735e-15
fine,17066,504,0.002206202207655772,0.002206202207655772,0.0010287991344587475,282,1.2527013086545354e-15
