state,eta,dminus,dplus
W M0.76,0.2,0.007476019305011974,0.008492406000906519
W M0.76,0.44,0.010973428263223423,0.012454148534429249
W M0.76,0.65,0.020696686599625147,0.00904369594995491
W M0.76,0.8,0.006487560344744514,0.013171880643855549
W M0.76,0.9,0.011341707313106686,0.015407653446329883
W M0.76,0.96,0.013320064240832125,0.02263658876204236
W M0.76,0.99,0.03312849413109761,0.02402756679219118
W M0.78,0.2,0.008713334952509921,0.00669586865702454
W M0.78,0.44,0.00951127059980067,0.0012911999044098454
W M0.78,0.65,0.01437343859034601,0.007147320885003916
W M0.78,0.8,0.008482749205012186,0.012636325716454344
W M0.78,0.9,0.010431983694827812,0.01257839477638531
W M0.78,0.96,0.01709511882265402,0.0247197800712691
W M0.78,0.99,0.02046535389286902,0.015003456723015826
W M0.80,0.2,0.00799884638514825,0.004450814459888042
W M0.80,0.44,0.009120540706680946,0.00963555099589214
W M0.80,0.65,0.010120984943105538,0.005985339821122204
W M0.80,0.8,0.010651283065099604,0.012091734240662289
W M0.80,0.9,0.006401566860108454,0.03154198452640844
W M0.80,0.96,0.004432572706637161,0.016034918038191126
W M0.80,0.99,0.010219807084331511,0.023859788694861397
W M0.82,0.2,0.007682127177658704,0.002882493166341593
W M0.82,0.44,0.00885907499581784,0.010125104561517717
W M0.82,0.65,0.00890422188601303,0.004686361639582137
W M0.82,0.8,0.0026531977138847807,0.011462954681378756
W M0.82,0.9,0.011546758575141092,0.012820974419599784
W M0.82,0.96,0.014075465868403636,0.03475572435516572
W M0.82,0.99,0.010472997926424171,0.003606481952721091
W M0.8395,0.2,0.007420705671504324,0.003333329513620753
W M0.8395,0.44,0.008569314568253383,0.008457159280767068
W M0.8395,0.65,0.008597431305404357,0.003963986392738206
W M0.8395,0.8,0.0032269214305025162,0.011021501883708762
W M0.8395,0.9,0.013432656312989566,0.012390928686614067
W M0.8395,0.96,0.011437454488961107,0.038714368179167624
W M0.8395,0.99,0.015334238825184143,0.0020759615244216323
W M0.86,0.2,0.007134769164094723,0.0016641052835624226
W M0.86,0.44,0.008339894421045657,0.005943521262115392
W M0.86,0.65,0.008241047489874864,0.003078646964185472
W M0.86,0.8,0.0025214287651752487,0.010619244247961679
W M0.86,0.9,0.0038072847232272222,0.012082344062520178
W M0.86,0.96,0.005198943561841418,0.032805474872952545
W M0.86,0.99,0.0007523468394909916,0.07314884789141785
W M0.88,0.2,0.0068354776205402645,0.003626369981109323
W M0.88,0.44,0.008106401990278123,0.0021438598357959027
W M0.88,0.65,0.007951918469292107,0.011965084772801116
W M0.88,0.8,0.010652994268008809,0.010157285884944578
W M0.88,0.9,0.00473856408924378,0.01170304688158419
W M0.88,0.96,0.0070397692294498215,0.01276523294943721
W M0.88,0.99,0.030892999191333592,0.021037004569646967
WB M0.78,0.2,0.007361480155197664,0.00034317603704686617
WB M0.78,0.44,0.007301493428599648,0.003729060620263902
WB M0.78,0.65,0.012197700727321348,0.014984343010756906
WB M0.78,0.8,0.005582295782142643,0.003751115793040438
WB M0.78,0.9,0.014737561279686923,0.00958650859366078
WB M0.78,0.96,0.00758465002508657,0.019386902389531446
WB M0.78,0.99,0.026957693694516893,0.030267484472893
WB M0.82,0.2,0.003414985624996869,0.021822402266359786
WB M0.82,0.44,0.010904936808091015,0.011468254821916157
WB M0.82,0.65,0.01811290737411636,0.020025416858080736
WB M0.82,0.8,0.019135092098683082,0.010915719623343645
WB M0.82,0.9,0.01753013705401657,0.012231895128019088
WB M0.82,0.96,0.017092284540298708,0.018064815564521136
WB M0.82,0.99,0.014084166456841435,0.01137243623565129
WB M0.86,0.2,0.004239526713497699,0.003994483628424028
WB M0.86,0.44,0.013201940729589134,0.0008554427092575256
WB M0.86,0.65,0.0030009269721572585,0.005479414261600368
WB M0.86,0.8,0.009836881333747605,0.010627809068650462
WB M0.86,0.9,0.004665101462164478,0.02106726525949343
WB M0.86,0.96,0.025383779797147954,0.00299291909557603
WB M0.86,0.99,0.012174769270049346,0.10397395659865949
WB M0.88,0.2,0.01698041661461913,0.00447956070340183
WB M0.88,0.44,0.008583064210571534,0.0033001391841246397
WB M0.88,0.65,0.001870134030747872,0.0033561496451279815
WB M0.88,0.8,0.008230963880294317,0.01622412213743618
WB M0.88,0.9,0.008327405514312325,0.0044378580308355176
WB M0.88,0.96,0.004246021790250021,0.016951577097047643
WB M0.88,0.99,0.01902079721774297,0.023780366100279005
WB xcoarse,0.2,0.011950796458843116,0.003087263665357831
WB xcoarse,0.44,0.004507782835337482,0.025006653405592494
WB xcoarse,0.65,0.003973315231119323,0.007135450474663352
WB xcoarse,0.8,0.029714537436413835,0.00364561051851775
WB xcoarse,0.9,0.002825381635957136,0.0027009110287150584
WB xcoarse,0.96,0.03275107356477136,0.019341981280874276
WB xcoarse,0.99,0.0005395843078193074,0.014840677985192396
WB medium,0.2,0.007027418507842831,0.0068683305373749
WB medium,0.44,0.005578701808828579,0.004627329672056368
WB medium,0.65,0.00806751130443173,0.007037725722237154
WB medium,0.8,0.005060274450713109,0.01012780099281485
WB medium,0.9,0.0019261391933931282,0.0020789065923135785
WB medium,0.96,0.019904380821872625,0.008279501958792457
WB medium,0.99,0.018165241167203416,0.3814604142281035
