state,arm,eta,half,d
W M0.76,S2,0.96,0.02,0.025536617324470573
W M0.76,S2,0.99,0.02,0.0502065628185895
W M0.76,S2,0.44,0.04,0.047514191822641855
W M0.76,S2,0.65,0.04,0.041445895451207526
W M0.76,S2,0.8,0.04,0.06349071728560415
W M0.76,S2,0.9,0.04,0.059609030504983895
W M0.76,S2,0.96,0.04,0.04413909056753573
W M0.76,S2,0.99,0.04,0.08081975649841482
W M0.76,S3,0.44,0.01,0.0186272995440033
W M0.76,S3,0.65,0.01,-0.023348878575081583
W M0.76,S3,0.8,0.01,-0.0011211689792020307
W M0.76,S3,0.9,0.01,-0.036414810239683654
W M0.76,S3,0.96,0.01,-0.0022837088781147707
W M0.76,S3,0.99,0.01,0.03294728965377518
W M0.76,S3,0.44,0.02,0.0186272995440033
W M0.76,S3,0.65,0.02,-0.018453605216920715
W M0.76,S3,0.8,0.02,0.0011304786806961564
W M0.76,S3,0.9,0.02,0.010122043594685687
W M0.76,S3,0.96,0.02,0.015035654580020846
W M0.76,S3,0.99,0.02,0.04719545472018087
W M0.76,S3,0.44,0.04,0.031395593578794734
W M0.76,S3,0.65,0.04,0.041445895451207526
W M0.76,S3,0.8,0.04,0.06779630027800845
W M0.76,S3,0.9,0.04,0.01907943912860649
W M0.76,S3,0.96,0.04,0.041330780394078476
W M0.76,S3,0.99,0.04,0.07791499000440814
W M0.78,P0,0.2,0.01,-0.008548530896932638
W M0.78,P0,0.44,0.01,0.01091423206275921
W M0.78,P0,0.65,0.01,0.013524266421070574
W M0.78,P0,0.8,0.01,0.6870526162078585
W M0.78,P0,0.9,0.01,-0.02493438418447813
W M0.78,P0,0.96,0.01,0.8011374143904963
W M0.78,P0,0.99,0.01,0.870625114484926
W M0.78,P0,0.2,0.02,-0.002342936566857856
W M0.78,P0,0.44,0.02,0.023257810625938513
W M0.78,P0,0.65,0.02,0.017776522221361002
W M0.78,P0,0.8,0.02,0.6826081051160573
W M0.78,P0,0.9,0.02,0.02534914058431223
W M0.78,P0,0.96,0.02,0.8149739952135369
W M0.78,P0,0.99,0.02,0.8693565184396209
W M0.78,P0,0.2,0.04,0.02241757800745281
W M0.78,P0,0.44,0.04,0.029786792147262098
W M0.78,P0,0.65,0.04,0.02293690843582269
W M0.78,P0,0.8,0.04,0.6717806200857195
W M0.78,P0,0.9,0.04,0.05099794253314868
W M0.78,P0,0.96,0.04,0.8107727675920147
W M0.78,P0,0.99,0.04,0.8701158075710089
W M0.78,P1,0.2,0.01,-0.02336000137179517
W M0.78,P1,0.44,0.01,-0.01853285375127478
W M0.78,P1,0.65,0.01,-0.01762806391021049
W M0.78,P1,0.8,0.01,-0.011498264463412844
W M0.78,P1,0.9,0.01,0.017964455678468855
W M0.78,P1,0.96,0.01,0.023526555362408358
W M0.78,P1,0.99,0.01,0.8658395282949584
W M0.78,P1,0.2,0.02,-0.002342936566857856
W M0.78,P1,0.44,0.02,-0.01853285375127478
W M0.78,P1,0.65,0.02,-0.013615959221426721
