state,arm,eta,d
W M0.76,P0,0.2,0.04305681800360808
W M0.76,P0,0.44,0.0186272995440033
W M0.76,P0,0.65,0.018747636583612087
W M0.76,P0,0.8,0.7799733191618304
W M0.76,P0,0.9,0.06554222374927024
W M0.76,P0,0.96,0.8367337633725072
W M0.76,P0,0.99,0.8955326631765421
W M0.76,P1,0.44,0.05226958757211192
W M0.76,P1,0.65,-0.018453605216920715
W M0.76,P1,0.8,0.016079565702406234
W M0.76,P1,0.9,0.028847629784730378
W M0.76,P1,0.96,0.025536617324470573
W M0.76,P1,0.99,0.886297811564253
W M0.76,P2,0.44,0.01792265441771107
W M0.76,P2,0.65,-0.015879559589797643
W M0.76,P2,0.8,0.03440858034954056
W M0.76,P2,0.9,0.04444812007862936
W M0.76,P2,0.96,0.02330920221551014
W M0.76,P2,0.99,0.05006025685333311
W M0.76,P3,0.44,0.0186272995440033
W M0.76,P3,0.65,-0.008771902956404148
W M0.76,P3,0.8,0.002280563244983741
W M0.76,P3,0.9,0.0012008861347772015
W M0.76,P3,0.96,0.02330920221551014
W M0.76,P3,0.99,0.05323445954060051
W M0.76,S1,0.2,0.015073534927742133
W M0.76,S1,0.44,0.0186272995440033
W M0.76,S1,0.65,-0.008771902956404148
W M0.76,S1,0.8,0.0011304786806961564
W M0.76,S1,0.9,0.06554222374927024
W M0.76,S1,0.96,0.8367337633725072
W M0.76,S1,0.99,0.8923669534646176
W M0.76,S2,0.44,0.01792265441771107
W M0.76,S2,0.65,-0.015879559589797643
W M0.76,S2,0.8,0.0011304786806961564
W M0.76,S2,0.9,0.028847629784730378
W M0.76,S2,0.96,0.025536617324470573
W M0.76,S2,0.99,0.0502065628185895
W M0.76,S3,0.44,0.0186272995440033
W M0.76,S3,0.65,-0.018453605216920715
W M0.76,S3,0.8,0.0011304786806961564
W M0.76,S3,0.9,0.010122043594685687
W M0.76,S3,0.96,0.015035654580020846
W M0.76,S3,0.99,0.04719545472018087
W M0.78,P0,0.2,-0.002342936566857856
W M0.78,P0,0.44,0.023257810625938513
W M0.78,P0,0.65,0.017776522221361002
W M0.78,P0,0.8,0.6826081051160573
W M0.78,P0,0.9,0.02534914058431223
W M0.78,P0,0.96,0.8149739952135369
W M0.78,P0,0.99,0.8693565184396209
W M0.78,P1,0.2,-0.002342936566857856
W M0.78,P1,0.44,-0.01853285375127478
W M0.78,P1,0.65,-0.013615959221426721
W M0.78,P1,0.8,-0.00998812836687274
W M0.78,P1,0.9,0.03751872360570216
W M0.78,P1,0.96,0.0315833245389632
W M0.78,P1,0.99,0.8646568921460075
W M0.78,P2,0.2,-0.0026813329307039946
W M0.78,P2,0.44,-0.01853285375127478
W M0.78,P2,0.65,-0.028882792837176707
W M0.78,P2,0.8,0.010256219871885519
W M0.78,P2,0.9,0.03751872360570216
W M0.78,P2,0.96,0.0315833245389632
W M0.78,P2,0.99,0.04704044533346291
W M0.78,P3,0.44,-0.035254008781407054
W M0.78,P3,0.65,-0.028882792837176707
W M0.78,P3,0.8,-0.00998812836687274
W M0.78,P3,0.9,0.02534914058431223
W M0.78,P3,0.96,0.0315833245389632
W M0.78,P3,0.99,0.04704044533346291
W M0.78,S1,0.2,-0.002342936566857856
W M0.78,S1,0.44,-0.035254008781407054
W M0.78,S1,0.65,-0.009781934734828523
W M0.78,S1,0.8,-0.00998812836687274
W M0.78,S1,0.9,0.03751872360570216
W M0.78,S1,0.96,0.8149739952135369
W M0.78,S1,0.99,0.8693565184396209
W M0.78,S2,0.2,-0.24517838312713858
W M0.78,S2,0.44,-0.035254008781407054
W M0.78,S2,0.65,-0.033578263727421565
W M0.78,S2,0.8,-0.00998812836687274
W M0.78,S2,0.9,0.01710568217580752
W M0.78,S2,0.96,0.0315833245389632
W M0.78,S2,0.99,0.04704044533346291
W M0.78,S3,0.44,-0.06774490546018841
W M0.78,S3,0.65,-0.028882792837176707
W M0.78,S3,0.8,-0.00998812836687274
W M0.78,S3,0.9,0.01710568217580752
W M0.78,S3,0.96,0.0315833245389632
W M0.78,S3,0.99,0.04704044533346291
W M0.80,P0,0.2,0.008864092184913908
W M0.80,P0,0.44,0.003481092358263993
W M0.80,P0,0.65,0.015198724259320062
W M0.80,P0,0.8,0.6057320891104208
W M0.80,P0,0.9,0.009549043027878068
W M0.80,P0,0.96,0.7840131075872756
W M0.80,P0,0.99,0.838225830579651
W M0.80,P1,0.2,-0.007433735565182564
W M0.80,P1,0.44,0.003481092358263993
W M0.80,P1,0.65,0.01499485050459104
W M0.80,P1,0.8,0.005051823795661159
W M0.80,P1,0.9,0.0090512551012083
W M0.80,P1,0.96,0.7840131075872756
W M0.80,P1,0.99,0.8308536821513528
W M0.80,P2,0.2,-0.008140081088776951
W M0.80,P2,0.44,-0.023290924613849573
W M0.80,P2,0.65,-0.015307776514219607
W M0.80,P2,0.8,0.005051823795661159
W M0.80,P2,0.9,-0.012385265022434921
W M0.80,P2,0.96,0.024464543280262957
W M0.80,P2,0.99,0.8251738929251391
W M0.80,P3,0.2,-0.008140081088776951
W M0.80,P3,0.44,-0.01885887688227611
W M0.80,P3,0.65,-0.002542921296235512
W M0.80,P3,0.8,-0.008019344090444691
W M0.80,P3,0.9,-0.012385265022434921
W M0.80,P3,0.96,0.024464543280262957
W M0.80,P3,0.99,0.04576353046373352
W M0.80,S1,0.2,-0.007433735565182564
