level,mode,floor,committed_floor,control_rel,converged,n_iter,m1_variant_floor,m2_orig_residual,floor_ref,ratio_vs_floor,fd_max_err,tight_F_max,tight_merit,tight_n_iter,committed_gv51b_final
coarse,V0_control,3.1536659557977854e-06,3.154e-06,0.00010591128795649285,False,21,,,,,,,,,
coarse,V1_te_extrapolate,,,,False,18,4.702923876114184,0.017516035455141448,3.154e-06,5553.593993386635,1.7893653100380035e-07,7.322558110136069e-05,2.5333925599311577e-08,10,3.070478e-06
medium,V0_control,1.823848199939151e-06,1.712e-06,0.0653318924878218,False,11,,,,,,,,,
medium,V1_te_extrapolate,,,,False,75,0.9863003177416623,0.4486632170871953,1.823848199939151e-06,245998.11382447512,1.0861507856697719e-08,3.9841927444042398,8.616849255938593,10,1.708125e-06
