level,fd_ok,guards_ok,lam_H_min,lam_H_max,turb_H_min,turb_H_max,lam_ok,turb_ok,loose_outer,loose_converged,cl_ref,cl_te,cl_rel,loose_ok
coarse,True,False,2.6062761641881447,2.6874382745380943,1.5089001246412796,1.8715480407413798,True,True,10,False,0.26791638630190007,0.27492399640123505,0.02615595931276296,False
medium,True,True,2.6062761641881447,2.6874382745380943,1.5089001246412796,1.8715480407413798,True,True,3,True,0.2824599912391945,0.289488700864681,0.02488391221231175,True
