metric,value
level,medium
h_body,0.015
h_far,3.0
r_far,16.15175
r_far_in_mac,25.0
n_nodes,181645
n_tets,1007780
n_tris_wall,47948
n_tris_farfield,902
min_dihedral_deg,20.69919806427086
max_aspect_ratio,3.0544203165686006
wall_crease_p99_deg,5.44353929643559
wall_crease_max_deg,10.168646858478914
wall_radius_err_max,0.0008307654813740906
wall_edge_med_cylinder,0.014999952109295367
wall_edge_med_nose_tip,0.005024905266384582
wall_edge_med_tail_tip,0.004171138659216678
body_length,4.030531849290996
x_nose_tip,-1.6122127397163983
x_tail_tip,2.4183191095745973
farfield_clearance_in_body_lengths,3.507349551856594
