state,z,gamma,resid_localfit,abs_F,d_up,d_lo,asym,dz_up,dz_lo,shared_up,shared_lo
conf_picard_coarse,0.31709,0.091807,0.001025,4.63e-04,0.01228,0.01539,0.1125,0.00305,0.01075,1,0
conf_picard_coarse,0.33150,0.088361,0.004023,4.52e-04,0.01446,0.01447,0.0004,0.00350,0.01038,0,0
conf_picard_coarse,0.34592,0.092900,0.000832,4.35e-04,0.01264,0.01262,0.0007,0.00903,0.00901,1,1
conf_picard_coarse,0.36033,0.092900,0.000232,4.35e-04,0.01396,0.01396,0.0002,0.00538,0.00540,1,1
conf_picard_coarse,0.37474,0.094733,0.000669,4.15e-04,0.01233,0.01494,0.0958,0.00870,0.01069,1,1
conf_picard_coarse,0.38916,0.094733,0.000166,4.15e-04,0.01398,0.01494,0.0331,0.00571,0.00373,1,1
conf_picard_coarse,0.40357,0.092026,0.001815,3.89e-04,0.01511,0.01494,0.0055,0.01007,0.01069,0,1
conf_picard_coarse,0.41798,0.095980,0.005169,3.85e-04,0.01498,0.01494,0.0012,0.01070,0.00373,0,1
conf_picard_coarse,0.43240,0.088077,0.000856,3.75e-04,0.01498,0.01427,0.0243,0.01070,0.01015,1,0
conf_picard_coarse,0.44681,0.079258,0.005325,3.74e-04,0.01498,0.01159,0.1275,0.00372,0.00961,1,1
conf_picard_coarse,0.46122,0.081683,0.001944,3.70e-04,0.01545,0.01155,0.1444,0.00358,0.00480,0,1
conf_picard_coarse,0.47564,0.087046,0.002188,3.55e-04,0.01558,0.01564,0.0021,0.00335,0.00468,0,0
conf_picard_coarse,0.49005,0.088706,0.001253,3.27e-04,0.01395,0.01633,0.0787,0.01060,0.01332,1,1
conf_picard_coarse,0.50446,0.088706,0.000565,3.27e-04,0.01364,0.01350,0.0050,0.00382,0.00109,1,1
conf_picard_coarse,0.51888,0.090919,0.001433,3.23e-04,0.01501,0.01326,0.0621,0.01050,0.00324,0,0
conf_picard_coarse,0.53329,0.087773,0.001071,3.24e-04,0.01498,0.01498,0.0000,0.01070,0.01070,1,1
