iter,V0_flag_off,V1_te_extrapolate
0,1.823848199939151e-06,4.845619122043772
1,1.823848199939151e-06,2.422809561021886
2,1.823848199939151e-06,2.34709676223995
3,1.823848199939151e-06,2.3104233753299503
4,1.823848199939151e-06,2.1660219143718287
5,1.823848199939151e-06,2.1490998681657985
6,1.823848199939151e-06,2.0819404972856175
7,1.823848199939151e-06,2.077874207251856
8,1.823848199939151e-06,1.9480070692986144
9,1.823848199939151e-06,1.9480070692986144
10,1.823848199939151e-06,1.9480070692986144
11,,1.9480070692986144
12,,1.9175694588408234
13,,1.9025884474436294
14,,1.8877244751979756
15,,1.8877244751979756
16,,1.8287330853480377
17,,1.7715851764309107
18,,1.7646649218354753
19,,1.7577716994845503
20,,1.7560551255592713
21,,1.7551976767674944
22,,1.7551976767674944
23,,1.7517695563050566
24,,1.7517695563050566
25,,1.6422839590359892
26,,1.616623272176053
27,,1.6103083375191147
28,,1.6103083375191147
29,,1.5599862019716397
30,,1.5599862019716397
31,,1.5569393539209138
32,,1.5447757652184073
33,,1.5417586250519655
34,,1.4935786680190937
35,,1.4935786680190937
36,,1.4469043346434987
37,,1.4242964544146943
38,,1.422905539908431
39,,1.422905539908431
40,,1.3784397417862913
41,,1.373055211544937
42,,1.3623282177047429
43,,1.3596674204045378
44,,1.3596674204045378
45,,1.2746882066292535
46,,1.2547712034006722
47,,1.2523204783940294
48,,1.2517089937854387
49,,1.2517089937854387
50,,1.2517089937854387
51,,1.0952453695622602
52,,1.0952453695622602
53,,1.093106218449833
54,,1.0247870797967202
55,,1.016780930735809
56,,1.008837329714435
57,,1.0048965588952363
58,,1.0044058867473389
59,,1.003915454185453
60,,1.003915454185453
61,,0.9882292752138078
62,,0.987746741388019
63,,0.986782144960884
64,,0.9863003177416623
65,,0.9863003177416623
66,,0.9863003177416623
67,,0.9863003177416623
68,,0.9863003177416623
69,,0.9863003177416623
70,,0.9863003177416623
71,,0.9863003177416623
72,,0.9863003177416623
73,,0.9863003177416623
74,,0.9863003177416623
