case,level,kind,n_threads,mach,alpha_deg,cp_rms_upper,cp_rms_lower,cl,cd,x_shock,residual,converged,n_limited,n_floored,sigma_frozen,cl_ref_cfl3d,d_cl_rel,x_shock_ref,d_x_shock,ref_shock_uncertainty,dx_over_ref_uncertainty
M0.725_a2.55,coarse,gate,16,0.725,2.55,2.586098043e-01,7.171176153e-02,9.149393082e-01,1.143283941e-02,6.049120301e-01,3.227474749e-13,1,0,0,1,0.981571,-6.788270e-02,0.629856,-0.024944,0.003169,7.87
M0.725_a2.55,medium,gate,16,0.725,2.55,1.437669133e-01,3.591220180e-02,1.016759785e+00,1.557547411e-02,6.617965743e-01,3.224205727e-11,1,0,0,1,0.981571,3.584945e-02,0.629856,+0.031941,0.003169,10.08
M0.730_a3.19,coarse,gate,16,0.73,3.19,1.053775625e+00,9.071732878e-02,7.466800832e-01,9.884248795e-02,9.794538274e-01,1.372160421e-04,0,13,2857,1,1.113160,-3.292248e-01,0.676609,+0.302845,0.002412,125.56
M0.730_a3.19,medium,gate,16,0.73,3.19,1.690595159e-01,3.715558163e-02,1.113865840e+00,3.169723943e-02,6.818606324e-01,2.528313119e-13,1,0,0,1,1.113160,6.340868e-04,0.676609,+0.005252,0.002412,2.18
