side,level,alpha,converged,n_outer,wall_s,gamma,nlim,nflr,res_final,d_cl_p,d_cl_p_rel,d_gamma_rel,root_jump_distortion,d_cl_fus_out_rel,n_te_nodes,n_aux_farfield,n_aux_symmetry,n_cut,n_cut_wing,n_cut_inboard_body,n_cut_inboard_sym,sliver_dih_min_deg,sliver_dih_p05_deg,sliver_vol_min,sliver_vol_p05,strip_aux_jump_max,strip_aux_jump_p95,strip_aux_jump_over_gamma,corr_mmax,corr_x,corr_z,corr_q,sheet_mmax,sheet_x,sheet_z,tip_mmax,tip_x,tip_z,n_sup,n_sup_corr,top_med_abs_s,top_med_q,top_med_x,pocket_peak_x,pocket_past_tail,cl_p,cl_fus,cl_fus_band,cl_fus_out,cl_fus_poles
A,coarse,0.0,True,17,8.79797470383346,-0.00018427146082759292,-1,-1,7.574205787563848e-08,,,,,,76,0,12,1583,1542,22,19,31.74769039628613,36.43779909577693,4.141690162272841e-06,5.338104865656116e-06,0.0006430432118094132,0.0006424691998842879,3.4896516743363413,0.5916586275707235,2.400468578902311,0.0270392474108126,-0.1277634581229383,0.5916586275707235,2.400468578902311,0.0270392474108126,0.6415718959619086,0.6895566245297261,1.181420620823468,0,0,0.017184554693179525,0.9676704626922792,0.6891796052388277,2.400468578902311,True,-0.0005426185379709735,-0.00023602756932811523,0.0005306018497445635,-0.00076662941907268,-1.506505364529671e-05
A,coarse,2.0,True,23,10.725404512137175,0.04135577859313327,0,0,8.35282758515632e-08,,,,,,76,4,16,1562,1529,21,12,35.30574417978445,38.016164916123444,6.678795696902205e-06,7.217249331000527e-06,0.06831973452070006,0.06735011768645216,1.6519989516903102,1.005258197725512,2.1910021901299963,0.14942337449209958,-0.0005442070815419098,1.005258197725512,2.1910021901299963,0.14942337449209958,0.8160200200892821,1.150251531739645,1.1938973492812905,2,2,0.03628733100214151,0.5304658449212465,0.5409058620307151,2.1910021901299963,False,0.13663483008793723,0.015554131329547978,0.0015520688838252042,0.014002062445722772,-0.00034343452218222605
A,coarse,3.06,True,32,16.144013423472643,0.06314747038602847,-1,-1,9.762965191839612e-08,,,,,,76,4,12,1503,1473,22,8,35.18849369980428,37.1142239284519,9.111496108039e-06,1.0566011356879392e-05,0.104376593539941,0.1025123330287517,1.6529022128974238,1.141893040984829,2.079594157197837,0.14597112891545197,-0.004232366545431015,1.141893040984829,2.079594157197837,0.14597112891545197,1.1202648283856045,1.150251531739645,1.1938973492812905,10,8,0.04276632439084381,0.5190511913177194,0.6013462734442513,2.079594157197837,False,0.2086658723898317,0.032236849886590896,0.00898642224238895,0.02325042764420196,-0.00029391587426614153
C,coarse,0.0,True,20,9.760352166369557,-0.000168702079495766,0,0,8.536422058114113e-08,5.477094350045023e-05,0.10093820919804276,0.08449154992261047,0.0709076820188561,0.007287211082736705,76,4,45,2409,1558,504,347,20.686469437256697,37.278121703851326,1.6439229912100046e-08,6.923664989106103e-08,0.00027731259408114717,0.0002461839032069646,1.6436635898985719,0.591814135506446,2.400468578902311,0.0270392474108126,-0.1277634581229383,0.591814135506446,2.400468578902311,0.0270392474108126,0.6415637145487774,0.6895566245297261,1.181420620823468,0,0,0.017184554693179525,0.9676704626922792,0.6891796052388277,2.400468578902311,True,-0.00048784759447052323,-0.00024389842282772014,0.0005283175866439717,-0.0007722160094716984,-2.1304185932862624e-05
C,coarse,2.0,True,30,14.947162985801697,0.040584652054531246,0,0,1.3989946978654189e-07,-0.002648374048132812,0.0193828619425101,0.018646161790073498,0.04454044478768836,1.3189886023676036,76,4,67,2317,1540,574,203,27.7949452930481,37.455716336729466,8.384886430074571e-08,1.8291113410635219e-07,0.04521173513479848,0.043802800517127725,1.1140105553758632,0.596863211768422,2.400468578902311,0.0270392474108126,-0.12709612216512833,0.5698611892075449,1.7957253193373461,0.172632552332706,1.0097997830794203,1.150251531739645,1.1938973492812905,1,0,0.038531333455368924,0.6714863766212034,0.4802248976391861,2.400468578902311,True,0.1339864560398044,0.0330452894098964,0.0005746661886258425,0.03247062322127056,0.0037232613698554074
C,coarse,3.06,True,49,23.221728725358844,0.062016024361078934,0,0,2.624886121793679e-07,-0.003776488916344245,0.018098258584848845,0.01791751938807468,0.04370360105227813,1.397618841402365,76,4,68,2088,1488,497,103,20.42583662231313,37.65672248433862,1.571696635713253e-07,3.9062463402429403e-07,0.0730345392948546,0.0689516221778973,1.1776720652703458,0.5992366804852963,2.400468578902311,0.0270392474108126,-0.12628402051707055,0.5698132869463916,1.787230403334749,0.15553663784268737,1.7741703002256954,1.1544801946387842,1.1975646673140439,11,0,0.04787044828048893,0.6994557224374329,0.49000904414033003,2.400468578902311,True,0.20488938347348745,0.06061977243607474,0.004874109045673704,0.05574566339040102,0.0006979957207494784
A,medium,0.0,True,16,251.38376209698617,7.437968286545527e-06,-1,-1,8.313074317811697e-08,,,,,,150,1,5,30177,29830,36,311,17.83034213519234,38.9065329854392,5.471152731483228e-07,1.3996669116230337e-06,3.81351730736057e-05,3.7266604025476546e-05,5.1270954116042775,0.6170224196440748,1.788057807412468,0.05832756167519804,-0.09525305829958307,0.6158335469959264,2.3984837301134325,0.02387784830621239,0.6546649728332953,0.6959837805024192,1.1993582864541787,0,0,0.012228218141742492,1.079390724117407,0.6966844625594422,1.788057807412468,False,5.307631129695831e-05,4.97987468778004e-06,8.973317920712978e-05,-8.475330451934864e-05,6.232032680484753e-06
A,medium,2.0,True,67,1083.7990170940757,0.0416024484441377,-1,-1,7.538815616214833e-08,,,,,,150,4,28,11141,10968,44,129,11.040416182984655,27.253168158287927,8.28938694141275e-07,1.3362519159672762e-06,0.05008154412795762,0.04977990502197662,1.2038124197234534,1.7106630095073674,1.5662428297398872,0.1506541525597356,0.0005478771577604004,1.7106630095073674,1.5662428297398872,0.1506541525597356,1.0385266357481073,1.1354808585834821,1.19708956367095,28,27,0.010053857855783752,0.001972958586662374,1.8830595753843102,1.5662428297398872,False,0.13692447739238256,0.014174762436637981,0.0006127352792599393,0.013562027157378033,-0.0002286279847035196
A,medium,3.06,True,59,834.3410833887756,0.064319113649914,-1,-1,9.794032251875251e-08,,,,,,150,4,33,8805,8662,49,94,17.919255647608118,30.512519879154425,8.262331345296789e-07,1.2282311068029812e-06,0.07681279134151242,0.07611892278703576,1.1942451781845276,14.662489237919898,2.131130988812329,0.1562324183620544,0.006418350840361996,14.662489237919898,2.131130988812329,0.1562324183620544,4.552510923410519,1.1354808585834821,1.19708956367095,104,88,0.005784600194369216,-0.002912655549692093,2.0155972280524517,2.131130988812329,False,0.21173079701472794,0.035711107154009054,0.014335227134308135,0.021375880019700914,-0.00012087096858746829
C,medium,0.0,True,16,276.4090972300619,7.863099102957597e-06,0,0,8.428119713244087e-08,1.451866351617138e-06,0.027354319019911647,0.05715684714347133,0.004506058313269957,0.035491362931935035,150,5,136,34242,29870,1837,2535,11.040416182984655,34.94969091520636,4.0659236719331715e-09,1.2474753295745183e-08,2.964604899635681e-05,2.637627121140351e-05,3.768469852385737,0.6170194341625048,1.788057807412468,0.05832756167519804,-0.09525305829958307,0.6158242933111772,2.3984837301134325,0.02387784830621239,0.6546654384658259,0.6959837805024192,1.1993582864541787,0,0,0.012228218141742492,1.079390724117407,0.6966844625594422,1.788057807412468,False,5.4528177648575446e-05,9.235014426761798e-06,9.098030865573656e-05,-8.174529422897163e-05,6.4583449219333976e-06
C,medium,2.0,True,48,765.2678526155651,0.042329438614581424,0,0,8.38335463271278e-08,0.002468868183466033,0.018030875344450154,0.017474696745791347,0.012486715193340414,1.5556348234554649,150,4,160,14191,10986,2240,965,11.040416182984655,37.06605326431913,1.1282732626385978e-08,3.118248445489225e-08,0.050097476829657595,0.04776248900707247,1.1835138318698306,0.6264400003047733,2.3984837301134325,0.02387784830621239,-0.13029708327474743,0.6095080099623903,1.800701976181546,0.1579072644256332,1.0827571834616143,1.1354808585834821,1.19708956367095,1,0,0.03320617099843202,0.7055376824899267,0.4861052168934935,2.3984837301134325,True,0.1393933455758486,0.04083269679570301,0.006173107915658966,0.03465958888004403,0.000887879667162444
C,medium,3.06,True,56,864.9076870921999,0.06455427677880003,0,0,1.713288710902816e-07,0.0008049346790904854,0.0038016891753092225,0.0036561935564911464,0.0028301163295461965,1.3556153181260906,150,4,150,11110,8690,1927,493,11.040416182984655,37.29841571480758,2.6066348626530497e-08,7.283693505828235e-08,0.0751768944280975,0.0721304909875707,1.164553274342168,0.6314290784795085,2.3984837301134325,0.02387784830621239,-0.12944097781286357,0.6129031065492038,1.7940462897259926,0.13976152219915042,4.771455827026669,1.1354808585834821,1.19708956367095,16,0,0.04273673290743798,0.718483153851253,0.4937914585576798,2.3984837301134325,True,0.21253573169381842,0.07054368146808178,0.020190331055248895,0.05035335041283291,0.0007821323047939007
