side,level,alpha,cl_fus,cl_fus_band,cl_fus_out,cl_fus_poles
A,medium,0.0,4.97987468778004e-06,8.973317920712978e-05,-8.475330451934864e-05,6.232032680484753e-06
A,medium,2.0,0.014174762436637981,0.0006127352792599393,0.013562027157378033,-0.0002286279847035196
A,medium,3.06,0.035711107154009054,0.014335227134308135,0.021375880019700914,-0.00012087096858746829
A,coarse,0.0,-0.00023602756932811523,0.0005306018497445635,-0.00076662941907268,-1.506505364529671e-05
A,coarse,3.06,0.032236849886590896,0.00898642224238895,0.02325042764420196,-0.00029391587426614153
B1,medium,0.0,9.600567845282258e-06,9.111690938266349e-05,-8.151634153737673e-05,6.250591562317162e-06
B1,medium,2.0,0.02012579942545778,-0.00037347137173945373,0.020499270797197242,0.00018289425819889625
B1,medium,3.06,0.010692936835023405,-0.0030350501835570485,0.013727987018580454,-0.005822590737850578
B1,coarse,0.0,-0.0002398491740286639,0.0005283903734021179,-0.0007682395474307773,-1.7766283867073415e-05
B1,coarse,3.06,0.02825378000823608,-0.00042540133918623054,0.028679181347422315,3.463782255428891e-05
B3,medium,0.0,nan,nan,nan,nan
B3,medium,2.0,0.030779254024751672,-0.008943754260499983,0.039723008285251674,0.001895327953178483
B3,medium,3.06,0.04725841627445905,-0.014262295085110895,0.06152071135956998,0.0019379317324038589
B3,coarse,0.0,-0.003146667675050864,0.0005822546725567424,-0.0037289223476076037,-0.00019624495283636044
B3,coarse,3.06,0.04860540168542044,-0.002788996615572353,0.05139439830099281,0.0028791589299135894
