level,point,m_inf,alpha,converged,n_outer,wall_s,fp_calls,fp_continuation,fp_stall_accepted,cl_final,ibl_final_residual,x_shock,band_lo,band_hi,shock_in_band,m_peak_preshock,x_at_peak,outside_envelope,cp_rms_upper,cp_rms_lower,failure
coarse,P1,0.725,2.55,True,7,150.0320336613804,10,1,2,0.9036465227611272,5.128268383599027e-06,0.6122,0.495,0.58,False,1.27059763942733,0.15454724676625003,False,0.1852051328624385,0.14599113654877324,
coarse,P2,0.73,3.19,False,10,541.3509535454214,20,2,8,0.9792389912552737,,0.652,0.52,0.605,False,1.365129927779779,0.2935253856050659,True,0.1756482603417045,0.11773205422158829,
medium,P1,0.725,2.55,False,10,1420.834734685719,22,2,10,0.9433334142662025,1.6413758650594715e-05,0.6288,0.495,0.58,False,1.3064668035670721,0.0340089315730275,True,0.26535266485233955,0.1285440367861208,
medium,P2,0.73,3.19,False,-1,,-1,-1,-1,,,,0.52,0.605,False,,,False,,,FP driver did not converge at outer iter 4 (mdot_max=1.590e+00)
