case,cg_info,cg_iters,n_dof_free,n_nodes,n_tets,nnz,splu_fill_nnz,splu_fill_ratio,t_amg_setup_s,t_cg_amg_s,t_cut_wake,t_matrix_ms,t_residual_ms,t_splu_s,t_splu_solve_ms
naca_medium,0,480,21696,21874,61788,232940,1886460,8.1,0.034,1.204,0.54,4.96,4.21,0.106,1.73
m6_coarse,0,13,12755,12978,55531,164840,4190146,25.4,0.03,0.031,0.62,7.13,4.61,0.225,3.23
m6_medium,0,15,70219,70663,350718,968341,53634702,55.4,0.196,0.171,3.95,9.53,7.08,6.495,35.64
wingbody_medium,0,16,134603,135051,679391,1862991,103513110,55.6,0.397,0.401,7.98,16.23,11.76,12.732,72.78
