quantity,value
x_shock_upper,0.5987
x_shock_lower,0.3622
cl_pressure,0.33387
cl_kj,0.34008
gamma,0.17004
mach_max,1.3634
kutta_mismatch,9.32e-05
n_picard_total,9664
t_solve_s,239
