quantity,value
upper_has_shock,True
upper_x_shock,0.6327896157257271
upper_n_cells,1
upper_monotone,True
upper_n_supersonic,121
upper_expansion_shock,False
upper_cp_min,-1.1106986937264072
lower_has_shock,True
lower_x_shock,0.36424735180470014
lower_n_cells,1
lower_monotone,True
lower_n_supersonic,48
lower_expansion_shock,False
lower_cp_min,-0.5890965130226246
cp_critical,-0.4346404791552306
cl_pressure,0.34944940396935226
cl_kj,0.3543161257606656
gamma,0.1771580628803328
mach_max,1.3659466685677017
kutta_mismatch,0.00012336885476388337
n_picard_total,12931
n_limited,0
n_floored,0
