x,re_x,H,H_blasius,rel_err_H,cf_sqrt_rex,cf_sqrt_rex_blasius,rel_err_cf,A,theta
0.100000,1.000000e+04,2.68647451,2.59110020,3.680842e-02,0.71591141,0.66411467,7.799367e-02,8.00391427,7.12696156e-04
0.146780,1.467799e+04,2.69149498,2.59110020,3.874601e-02,0.71367625,0.66411467,7.462804e-02,8.00972111,8.63869489e-04
0.215443,2.154435e+04,2.69534655,2.59110020,4.023247e-02,0.71226114,0.66411467,7.249722e-02,8.01414412,1.04656346e-03
0.316228,3.162278e+04,2.69830870,2.59110020,4.137567e-02,0.71137431,0.66411467,7.116187e-02,8.01752714,1.26755350e-03
0.464159,4.641589e+04,2.70059027,2.59110020,4.225621e-02,0.71082721,0.66411467,7.033805e-02,8.02012195,1.53502611e-03
0.681292,6.812921e+04,2.70234924,2.59110020,4.293506e-02,0.71049738,0.66411467,6.984141e-02,8.02211596,1.85888203e-03
1.000000,1.000000e+05,2.70370605,2.59110020,4.345870e-02,0.71030528,0.66411467,6.955216e-02,8.02365024,2.25110248e-03
1.467799,1.467799e+05,2.70475294,2.59110020,4.386274e-02,0.71019934,0.66411467,6.939264e-02,8.02483180,2.72619193e-03
2.154435,2.154435e+05,2.70556083,2.59110020,4.417453e-02,0.71014631,0.66411467,6.931278e-02,8.02574228,3.30171397e-03
3.162278,3.162278e+05,2.70618432,2.59110020,4.441516e-02,0.71012489,0.66411467,6.928054e-02,8.02644413,3.99894017e-03
4.641589,4.641589e+05,2.70666550,2.59110020,4.460086e-02,0.71012164,0.66411467,6.927565e-02,8.02698532,4.84363571e-03
6.812921,6.812921e+05,2.70703685,2.59110020,4.474418e-02,0.71012817,0.66411467,6.928547e-02,8.02740270,5.86701109e-03
10.000000,1.000000e+06,2.70732343,2.59110020,4.485478e-02,0.71013935,0.66411467,6.930230e-02,8.02772463,7.10687481e-03
14.677993,1.467799e+06,2.70754459,2.59110020,4.494013e-02,0.71015216,0.66411467,6.932159e-02,8.02797296,8.60902982e-03
21.544347,2.154435e+06,2.70771524,2.59110020,4.500600e-02,0.71016489,0.66411467,6.934077e-02,8.02816454,1.04289652e-02
31.622777,3.162278e+06,2.70784693,2.59110020,4.505682e-02,0.71017666,0.66411467,6.935848e-02,8.02831233,1.26339053e-02
46.415888,4.641589e+06,2.70794854,2.59110020,4.509604e-02,0.71018706,0.66411467,6.937414e-02,8.02842634,1.53052929e-02
68.129207,6.812921e+06,2.70802695,2.59110020,4.512630e-02,0.71019598,0.66411467,6.938758e-02,8.02851431,1.85417969e-02
100.000000,1.000000e+07,2.70808745,2.59110020,4.514964e-02,0.71020348,0.66411467,6.939887e-02,8.02858217,2.24629561e-02
