level,n_tets,cl_pressure,cl_kj,consistency,mach_max,kutta,shock_eta44,shock_eta65,shock_eta90
coarse,55531,0.24806,0.25424,0.02430,1.4698,8.20e-03,0.5951,0.5687,0.4235
medium,350718,0.25148,0.25590,0.01727,5.2037,1.60e-02,0.5944,0.5256,0.3601
