face,x,v_plus,v_minus,jump,rel_err_vs_m0
254,8.3613,5.000400e-03,-4.964323e-03,9.964723e-03,-0.0035
255,8.3414,5.000498e-03,-4.964426e-03,9.964925e-03,-0.0035
256,8.4211,4.997319e-03,-4.970906e-03,9.968224e-03,-0.0032
257,8.4012,4.997495e-03,-4.971118e-03,9.968613e-03,-0.0031
258,8.4809,4.992559e-03,-4.974980e-03,9.967539e-03,-0.0032
259,8.4610,4.992505e-03,-4.974917e-03,9.967422e-03,-0.0033
260,8.5408,4.988131e-03,-4.978426e-03,9.966557e-03,-0.0033
261,8.5208,4.988030e-03,-4.978334e-03,9.966364e-03,-0.0034
262,8.6006,4.987635e-03,-4.978521e-03,9.966156e-03,-0.0034
263,8.5806,4.987702e-03,-4.978588e-03,9.966290e-03,-0.0034
264,8.6604,4.981006e-03,-4.981504e-03,9.962510e-03,-0.0037
265,8.6405,4.981042e-03,-4.981556e-03,9.962598e-03,-0.0037
266,8.7202,4.982640e-03,-4.982656e-03,9.965296e-03,-0.0035
267,8.7003,4.982560e-03,-4.982526e-03,9.965087e-03,-0.0035
268,8.7801,4.982442e-03,-4.988402e-03,9.970845e-03,-0.0029
269,8.7601,4.982374e-03,-4.988314e-03,9.970689e-03,-0.0029
270,8.8399,4.977238e-03,-4.991738e-03,9.968976e-03,-0.0031
271,8.8199,4.977384e-03,-4.992034e-03,9.969418e-03,-0.0031
272,8.8997,4.974178e-03,-4.989646e-03,9.963823e-03,-0.0036
273,8.8798,4.974006e-03,-4.989475e-03,9.963481e-03,-0.0037
274,8.9595,4.973382e-03,-4.992339e-03,9.965721e-03,-0.0034
275,8.9396,4.973430e-03,-4.992386e-03,9.965816e-03,-0.0034
276,9.0193,4.971800e-03,-4.994364e-03,9.966163e-03,-0.0034
277,8.9994,4.971766e-03,-4.994332e-03,9.966098e-03,-0.0034
278,9.0792,4.971569e-03,-4.999335e-03,9.970903e-03,-0.0029
279,9.0592,4.971777e-03,-4.999704e-03,9.971480e-03,-0.0029
280,9.1390,4.967597e-03,-4.999246e-03,9.966843e-03,-0.0033
281,9.1190,4.967554e-03,-4.999172e-03,9.966726e-03,-0.0033
282,9.1988,4.966426e-03,-4.997768e-03,9.964193e-03,-0.0036
283,9.1789,4.966296e-03,-4.997604e-03,9.963900e-03,-0.0036
284,9.2586,4.963958e-03,-4.997737e-03,9.961696e-03,-0.0038
285,9.2387,4.963746e-03,-4.997498e-03,9.961244e-03,-0.0039
286,9.3184,4.963290e-03,-4.997160e-03,9.960451e-03,-0.0040
287,9.2985,4.963295e-03,-4.997166e-03,9.960461e-03,-0.0040
288,9.3783,4.965345e-03,-4.999093e-03,9.964438e-03,-0.0036
289,9.3583,4.965639e-03,-4.999625e-03,9.965264e-03,-0.0035
290,9.4381,4.964870e-03,-4.998407e-03,9.963276e-03,-0.0037
291,9.4181,4.964655e-03,-4.998335e-03,9.962989e-03,-0.0037
292,9.4979,4.966856e-03,-4.993047e-03,9.959903e-03,-0.0040
293,9.4780,4.966753e-03,-4.992979e-03,9.959732e-03,-0.0040
294,9.5577,4.966515e-03,-4.989954e-03,9.956469e-03,-0.0044
295,9.5378,4.966282e-03,-4.989752e-03,9.956034e-03,-0.0044
296,9.6176,4.967513e-03,-4.991307e-03,9.958820e-03,-0.0041
297,9.5976,4.967603e-03,-4.991396e-03,9.958999e-03,-0.0041
298,9.6774,4.970044e-03,-4.988654e-03,9.958698e-03,-0.0041
299,9.6574,4.970072e-03,-4.988691e-03,9.958763e-03,-0.0041
300,9.7372,4.973124e-03,-4.986289e-03,9.959413e-03,-0.0041
301,9.7173,4.973139e-03,-4.986305e-03,9.959444e-03,-0.0041
302,9.7970,4.973025e-03,-4.983777e-03,9.956803e-03,-0.0043
303,9.7771,4.972919e-03,-4.983671e-03,9.956590e-03,-0.0043
304,9.8568,4.974427e-03,-4.988176e-03,9.962603e-03,-0.0037
305,9.8369,4.974605e-03,-4.988344e-03,9.962949e-03,-0.0037
