s,ds_wake,m_wake
0.000000,6.617954e-03,1.138353e-02
14.500000,4.475771e-03,-8.849618e-09
0.009994,6.596651e-03,-4.540183e-05
0.019988,6.575561e-03,4.438185e-03
0.029982,6.554680e-03,3.370902e-03
0.039976,6.534006e-03,1.606400e-03
0.049970,6.513539e-03,6.358700e-04
0.059964,6.493275e-03,7.102461e-05
0.069959,6.473212e-03,-2.530953e-04
0.079953,6.453349e-03,-3.933560e-04
0.089947,6.433683e-03,-3.944952e-04
0.099941,6.414213e-03,-6.655590e-04
0.111299,6.392320e-03,-1.386169e-03
0.125918,6.364506e-03,-2.167315e-03
0.144734,6.329299e-03,-2.941529e-03
0.168953,6.284949e-03,-3.393723e-03
0.198469,6.232330e-03,-3.372635e-03
0.228451,6.180446e-03,-3.138594e-03
0.258433,6.130094e-03,-2.860244e-03
0.288415,6.081230e-03,-2.615367e-03
0.318398,6.033809e-03,-2.429689e-03
0.348380,5.987789e-03,-2.276708e-03
0.378362,5.943128e-03,-2.125566e-03
0.408344,5.899787e-03,-2.004237e-03
0.438327,5.857725e-03,-1.899505e-03
0.468309,5.816906e-03,-1.797851e-03
0.498291,5.777292e-03,-1.710179e-03
0.528273,5.738849e-03,-1.629413e-03
0.558256,5.701541e-03,-1.555769e-03
0.588238,5.665335e-03,-1.488364e-03
0.618220,5.630199e-03,-1.424414e-03
0.648202,5.596100e-03,-1.365669e-03
0.678185,5.563009e-03,-1.310760e-03
0.708167,5.530895e-03,-1.258923e-03
0.738149,5.499729e-03,-1.210935e-03
0.768131,5.469484e-03,-1.166078e-03
0.798114,5.440133e-03,-1.124258e-03
0.828096,5.411648e-03,-1.083528e-03
0.858078,5.384005e-03,-1.044638e-03
0.888060,5.357178e-03,-1.010665e-03
0.918043,5.331144e-03,-9.757073e-04
0.948025,5.305878e-03,-9.406061e-04
0.978007,5.281359e-03,-9.080838e-04
1.007989,5.257564e-03,-8.765952e-04
1.037972,5.234472e-03,-8.479646e-04
1.067954,5.212062e-03,-8.184836e-04
1.097936,5.190314e-03,-7.896049e-04
1.127918,5.169208e-03,-7.686566e-04
1.157901,5.148726e-03,-7.430027e-04
1.187883,5.128849e-03,-7.190399e-04
1.217865,5.109559e-03,-6.962007e-04
1.247847,5.090838e-03,-6.740274e-04
1.277829,5.072671e-03,-6.526101e-04
1.307812,5.055040e-03,-6.319922e-04
1.337794,5.037930e-03,-6.123322e-04
1.367776,5.021325e-03,-5.932576e-04
1.397758,5.005211e-03,-5.747764e-04
1.427741,4.989573e-03,-5.573139e-04
1.457723,4.974397e-03,-5.411596e-04
1.487705,4.959669e-03,-5.230743e-04
1.517687,4.945376e-03,-5.050556e-04
1.547670,4.931505e-03,-4.912979e-04
1.577652,4.918044e-03,-4.755399e-04
1.607634,4.904980e-03,-4.609198e-04
1.637616,4.892302e-03,-4.465982e-04
1.667599,4.879999e-03,-4.328661e-04
1.697581,4.868059e-03,-4.199053e-04
1.727563,4.856472e-03,-4.074291e-04
1.757545,4.845227e-03,-3.951675e-04
1.787528,4.834314e-03,-3.830247e-04
1.817510,4.823724e-03,-3.715312e-04
1.847492,4.813446e-03,-3.606392e-04
1.877474,4.803472e-03,-3.492957e-04
1.907457,4.793793e-03,-3.380102e-04
1.937439,4.784399e-03,-3.294124e-04
1.967421,4.775283e-03,-3.191077e-04
1.997403,4.766437e-03,-3.094333e-04
2.027386,4.757851e-03,-3.003342e-04
2.057368,4.749519e-03,-2.914946e-04
2.087350,4.741433e-03,-2.828684e-04
2.117332,4.733586e-03,-2.743826e-04
2.147315,4.725971e-03,-2.660968e-04
2.177297,4.718581e-03,-2.580822e-04
2.207279,4.711409e-03,-2.503803e-04
2.237261,4.704449e-03,-2.429573e-04
2.267244,4.697694e-03,-2.357270e-04
2.297226,4.691139e-03,-2.285965e-04
2.327208,4.684778e-03,-2.217437e-04
2.357190,4.678604e-03,-2.152477e-04
2.387173,4.672613e-03,-2.090997e-04
2.417155,4.666799e-03,-2.030537e-04
2.447137,4.661156e-03,-1.973280e-04
2.477119,4.655681e-03,-1.914875e-04
2.507102,4.650366e-03,-1.854082e-04
2.537084,4.645209e-03,-1.804363e-04
2.567066,4.640205e-03,-1.750972e-04
2.597048,4.635348e-03,-1.694435e-04
2.627031,4.630634e-03,-1.645935e-04
2.657013,4.626060e-03,-1.595748e-04
2.686995,4.621621e-03,-1.546463e-04
2.716977,4.617313e-03,-1.498226e-04
2.746960,4.613132e-03,-1.461918e-04
2.776942,4.609075e-03,-1.417806e-04
2.806924,4.605137e-03,-1.376443e-04
2.836906,4.601316e-03,-1.338060e-04
2.866889,4.597608e-03,-1.301034e-04
2.896871,4.594009e-03,-1.257537e-04
2.926853,4.590516e-03,-1.223450e-04
2.956835,4.587127e-03,-1.192080e-04
2.986818,4.583838e-03,-1.151079e-04
3.016800,4.580646e-03,-1.118824e-04
3.046782,4.577548e-03,-1.086929e-04
3.076764,4.574542e-03,-1.051524e-04
3.106747,4.571624e-03,-1.024148e-04
3.136729,4.568793e-03,-9.959706e-05
3.166711,4.566045e-03,-9.661540e-05
3.196693,4.563379e-03,-9.376614e-05
3.226675,4.560791e-03,-9.094241e-05
3.256658,4.558280e-03,-8.813286e-05
3.286640,4.555843e-03,-8.552241e-05
3.316622,4.553478e-03,-8.295540e-05
3.346604,4.551182e-03,-8.047482e-05
3.376587,4.548955e-03,-7.809250e-05
3.406569,4.546793e-03,-7.578260e-05
3.436551,4.544695e-03,-7.353330e-05
3.466533,4.542660e-03,-7.138221e-05
3.496516,4.540684e-03,-6.936441e-05
3.526498,4.538766e-03,-6.747191e-05
3.556480,4.536906e-03,-6.550558e-05
3.586462,4.535100e-03,-6.347223e-05
3.616445,4.533347e-03,-6.204750e-05
3.646427,4.531647e-03,-6.025134e-05
3.676409,4.529996e-03,-5.839703e-05
3.706391,4.528395e-03,-5.670796e-05
3.736374,4.526840e-03,-5.514794e-05
3.766356,4.525332e-03,-5.361600e-05
3.796338,4.523868e-03,-5.200469e-05
3.826320,4.522447e-03,-5.052876e-05
3.856303,4.521068e-03,-4.926845e-05
3.886285,4.519730e-03,-4.758326e-05
3.916267,4.518432e-03,-4.641836e-05
3.946249,4.517172e-03,-4.523685e-05
3.976232,4.515949e-03,-4.383131e-05
4.006214,4.514762e-03,-4.267562e-05
4.036196,4.513610e-03,-4.144112e-05
4.066178,4.512493e-03,-4.006574e-05
4.096161,4.511408e-03,-3.896820e-05
4.126143,4.510355e-03,-3.766464e-05
4.156125,4.509334e-03,-3.648504e-05
4.186107,4.508342e-03,-3.538334e-05
4.216090,4.507380e-03,-3.433698e-05
4.246072,4.506446e-03,-3.341455e-05
4.276054,4.505540e-03,-3.257455e-05
4.306036,4.504661e-03,-3.157069e-05
4.336019,4.503808e-03,-3.063345e-05
4.366001,4.502980e-03,-2.989036e-05
4.395983,4.502176e-03,-2.885052e-05
4.425965,4.501396e-03,-2.825681e-05
4.455948,4.500639e-03,-2.743686e-05
4.485930,4.499904e-03,-2.651950e-05
4.515912,4.499191e-03,-2.596160e-05
4.545894,4.498500e-03,-2.527880e-05
4.575877,4.497828e-03,-2.449374e-05
4.605859,4.497177e-03,-2.390748e-05
4.635841,4.496544e-03,-2.312325e-05
4.665823,4.495931e-03,-2.259899e-05
4.695806,4.495335e-03,-2.196971e-05
4.725788,4.494757e-03,-2.121581e-05
4.755770,4.494197e-03,-2.061241e-05
4.785752,4.493652e-03,-2.022104e-05
4.815735,4.493124e-03,-1.936019e-05
4.845717,4.492611e-03,-1.893553e-05
4.875699,4.492114e-03,-1.856000e-05
4.905681,4.491631e-03,-1.788680e-05
4.935664,4.491163e-03,-1.742055e-05
4.965646,4.490708e-03,-1.684896e-05
4.995628,4.490267e-03,-1.644071e-05
5.025610,4.489839e-03,-1.579389e-05
5.055592,4.489423e-03,-1.530200e-05
5.085575,4.489020e-03,-1.501994e-05
5.115557,4.488628e-03,-1.457100e-05
5.145539,4.488249e-03,-1.412821e-05
5.175521,4.487880e-03,-1.365987e-05
5.205504,4.487522e-03,-1.321381e-05
5.235486,4.487175e-03,-1.312432e-05
5.265468,4.486838e-03,-1.248800e-05
5.295450,4.486511e-03,-1.217942e-05
5.325433,4.486194e-03,-1.195520e-05
5.355415,4.485886e-03,-1.150924e-05
5.385397,4.485587e-03,-1.097976e-05
5.415379,4.485297e-03,-1.090760e-05
5.445362,4.485016e-03,-1.059158e-05
5.475344,4.484743e-03,-1.033627e-05
5.505326,4.484478e-03,-1.012669e-05
5.535308,4.484221e-03,-9.922008e-06
5.565291,4.483971e-03,-9.726068e-06
5.595273,4.483729e-03,-9.529571e-06
5.625255,4.483494e-03,-9.219305e-06
5.655237,4.483265e-03,-8.846261e-06
5.685220,4.483044e-03,-8.781319e-06
5.715202,4.482829e-03,-8.455914e-06
5.745184,4.482621e-03,-8.150074e-06
5.775166,4.482418e-03,-7.920025e-06
5.805149,4.482222e-03,-7.731308e-06
5.835131,4.482031e-03,-7.476025e-06
5.865113,4.481846e-03,-7.228895e-06
5.895095,4.481667e-03,-7.122145e-06
5.925078,4.481493e-03,-6.928723e-06
5.955060,4.481324e-03,-6.751848e-06
5.985042,4.481160e-03,-6.596053e-06
6.015024,4.481000e-03,-6.437269e-06
6.045007,4.480846e-03,-6.278505e-06
6.074989,4.480696e-03,-6.123359e-06
6.104971,4.480550e-03,-5.822687e-06
6.134953,4.480409e-03,-5.525080e-06
6.164936,4.480272e-03,-5.484024e-06
6.194918,4.480139e-03,-5.263844e-06
6.224900,4.480010e-03,-5.097079e-06
6.254882,4.479885e-03,-4.947708e-06
6.284865,4.479763e-03,-4.837852e-06
6.314847,4.479645e-03,-4.734307e-06
6.344829,4.479531e-03,-4.639030e-06
6.374811,4.479420e-03,-4.598447e-06
6.404794,4.479312e-03,-4.518560e-06
6.434776,4.479207e-03,-4.462552e-06
6.464758,4.479106e-03,-4.418990e-06
6.494740,4.479007e-03,-4.318772e-06
6.524723,4.478912e-03,-4.219860e-06
6.554705,4.478819e-03,-4.103688e-06
6.584687,4.478729e-03,-3.981963e-06
6.614669,4.478641e-03,-3.855468e-06
6.644652,4.478557e-03,-3.745568e-06
6.674634,4.478474e-03,-3.650332e-06
6.704616,4.478394e-03,-3.534247e-06
6.734598,4.478317e-03,-3.419636e-06
6.764581,4.478242e-03,-3.335151e-06
6.794563,4.478169e-03,-3.264642e-06
6.824545,4.478098e-03,-3.187320e-06
6.854527,4.478029e-03,-3.119375e-06
6.884510,4.477962e-03,-3.047726e-06
6.914492,4.477897e-03,-2.965875e-06
6.944474,4.477835e-03,-2.902452e-06
6.974456,4.477774e-03,-2.851331e-06
7.004438,4.477714e-03,-2.791533e-06
7.034421,4.477657e-03,-2.723709e-06
7.064403,4.477601e-03,-2.663056e-06
7.094385,4.477547e-03,-2.614039e-06
7.124367,4.477495e-03,-2.552546e-06
7.154350,4.477444e-03,-2.485506e-06
7.184332,4.477394e-03,-2.411099e-06
7.214314,4.477346e-03,-2.358332e-06
7.244296,4.477300e-03,-2.242023e-06
7.274279,4.477254e-03,-2.226105e-06
7.304261,4.477211e-03,-2.144638e-06
7.334243,4.477168e-03,-2.078007e-06
7.364225,4.477127e-03,-2.027372e-06
7.394208,4.477087e-03,-1.962418e-06
7.424190,4.477048e-03,-1.910767e-06
7.454172,4.477010e-03,-1.860649e-06
7.484154,4.476973e-03,-1.814278e-06
7.514137,4.476938e-03,-1.774829e-06
7.544119,4.476903e-03,-1.730921e-06
7.574101,4.476870e-03,-1.667107e-06
7.604083,4.476837e-03,-1.582053e-06
7.634066,4.476806e-03,-1.521328e-06
7.664048,4.476775e-03,-1.473976e-06
7.694030,4.476745e-03,-1.418929e-06
7.724012,4.476717e-03,-1.386569e-06
7.753995,4.476689e-03,-1.355069e-06
7.783977,4.476662e-03,-1.324797e-06
7.813959,4.476635e-03,-1.311226e-06
7.843941,4.476610e-03,-1.332682e-06
7.873924,4.476585e-03,-1.318696e-06
7.903906,4.476561e-03,-1.305879e-06
7.933888,4.476537e-03,-1.274242e-06
7.963870,4.476515e-03,-1.201773e-06
7.993853,4.476493e-03,-1.152110e-06
8.023835,4.476471e-03,-1.111859e-06
8.053817,4.476451e-03,-1.078617e-06
8.083799,4.476430e-03,-1.048533e-06
8.113782,4.476411e-03,-1.049075e-06
8.143764,4.476392e-03,-1.045019e-06
8.173746,4.476374e-03,-1.041683e-06
8.203728,4.476356e-03,-1.059245e-06
8.233711,4.476338e-03,-1.056821e-06
8.263693,4.476322e-03,-1.008516e-06
8.293675,4.476305e-03,-9.583416e-07
8.323657,4.476290e-03,-9.116237e-07
8.353640,4.476274e-03,-8.764487e-07
8.383622,4.476259e-03,-8.438976e-07
8.413604,4.476245e-03,-8.061684e-07
8.443586,4.476231e-03,-7.774755e-07
8.473569,4.476217e-03,-7.501564e-07
8.503551,4.476204e-03,-7.325348e-07
8.533533,4.476191e-03,-7.325199e-07
