side,x,re_theta_xfoil,theta_x,theta_o,ctau_x,ctau_o,ctau_eq_o,delta_o,s
side_a,0.05862,355.31190000000004,9e-05,9.093067316585711e-05,0.002390818816,0.002407669403035723,0.0028267932125654273,0.0006494186579912672,0.07973999999999992
side_a,0.06391,397.71173999999996,0.000101,0.0001029568463524941,0.002227651204,0.002165472192349158,0.0018478145424488703,0.0008028612767858195,0.0852099999999999
side_a,0.06959,452.16734999999994,0.000115,0.00011718036793639317,0.001958859081,0.0019192454385281942,0.0015806966071947115,0.0009522316068128106,0.09104999999999996
side_a,0.07564,514.437,0.000131,0.00013237815727103829,0.0017927602809999998,0.0017784679787181627,0.0015308172491004068,0.0010886045102606499,0.0972599999999999
side_a,0.08205,576.2811599999999,0.000147,0.00014825440381218013,0.0017039558410000002,0.0017013632261794348,0.001533802971938466,0.0012224479435935533,0.10380999999999996
side_a,0.0888,637.32837,0.000163,0.00016494324370826548,0.0016573041000000003,0.0016586698390215996,0.0015468120543066922,0.0013606626132333529,0.11068999999999996
side_a,0.09586,702.054,0.00018,0.00018184139568864875,0.0016285260250000003,0.0016303655720958444,0.0015497198350034448,0.0015025847864279475,0.11785999999999996
side_a,0.10319,770.0972399999999,0.000198,0.0001992561751023262,0.0016088121,0.0016100038393158777,0.001548655828144591,0.001649834771886607,0.12529999999999997
side_a,0.11076,833.8044,0.000215,0.0002170090464011189,0.001592728281,0.0015931627144306964,0.0015428703870647464,0.0018014872709278087,0.13296999999999992
side_a,0.11855,904.87098,0.000234,0.00023500387802611195,0.0015781550759999998,0.0015779233044387602,0.0015340350535971853,0.0019565917241726226,0.1408299999999999
side_a,0.12651,971.5960799999999,0.000252,0.00025330945915851363,0.001564518916,0.001563830332386707,0.0015243353916523277,0.0021152067121300144,0.14886999999999995
side_a,0.13464,1037.7963000000002,0.00027,0.0002719373900024684,0.0015518084489999997,0.0015508536489053663,0.0015149339506490686,0.0022770555405040036,0.15705999999999998
