protocol,level,scope,state,direction,err_eps_1e-5,err_eps_1e-6,err_eps_1e-7,sweet_spot,veps_omission_abs,veps_omission_scaled,masked_rows
k1seed,coarse,aug_phi,seed,0,8.478e-09,4.392e-10,2.859e-09,4.392e-10,,,
k1seed,coarse,aug_phi,seed,1,8.063e-09,3.391e-10,2.221e-09,3.391e-10,,,
k1seed,coarse,aug_gamma,seed,0,2.133e-08,1.533e-10,7.897e-10,1.533e-10,,,
k1seed,coarse,aug_gamma,seed,1,2.133e-08,1.533e-10,7.897e-10,1.533e-10,,,
k1seed,coarse,phi_cols,seed,0,4.612e-09,1.820e-09,1.803e-08,1.820e-09,,,0
k1seed,coarse,phi_cols,seed,1,1.157e-08,1.734e-09,9.745e-09,1.734e-09,,,0
k1seed,coarse,gamma_cols,seed,0,3.270e-09,4.877e-11,4.161e-10,4.877e-11,,,0
k1seed,coarse,gamma_cols,seed,1,3.270e-09,4.877e-11,4.161e-10,4.877e-11,,,0
k1seed,coarse,U_cols,seed,0,1.416e-06,1.535e-07,2.291e-08,2.291e-08,0.000e+00,0.000e+00,0
k1seed,coarse,U_cols,seed,1,5.859e-05,5.788e-08,8.420e-09,8.420e-09,0.000e+00,0.000e+00,0
k1seed,coarse,full,seed,0,6.379e-09,2.719e-09,1.898e-08,2.719e-09,1.895e-07,1.282e-09,0
k1seed,coarse,full,seed,1,1.328e-08,2.559e-09,2.080e-08,2.559e-09,2.992e-06,2.393e-08,0
k1seed,coarse,full,seed,2,1.636e-07,1.665e-09,1.662e-08,1.665e-09,2.017e-07,1.250e-09,0
k1seed,coarse,full,seed,3,6.723e-09,1.282e-09,1.310e-08,1.282e-09,9.873e-09,5.850e-11,0
amended,coarse,aug_phi,seed,0,8.596e-09,1.948e-10,3.062e-09,1.948e-10,,,
amended,coarse,aug_phi,seed,1,9.527e-09,3.646e-10,4.454e-09,3.646e-10,,,
amended,coarse,aug_gamma,seed,0,2.078e-08,2.310e-10,3.844e-10,2.310e-10,,,
amended,coarse,aug_gamma,seed,1,2.078e-08,2.310e-10,3.844e-10,2.310e-10,,,
amended,coarse,phi_cols,seed,0,4.611e-09,2.509e-09,2.249e-08,2.509e-09,,,0
amended,coarse,phi_cols,seed,1,1.159e-08,1.589e-09,9.878e-09,1.589e-09,,,0
amended,coarse,gamma_cols,seed,0,3.266e-09,4.557e-11,5.277e-10,4.557e-11,,,0
amended,coarse,gamma_cols,seed,1,3.266e-09,4.557e-11,5.277e-10,4.557e-11,,,0
amended,coarse,U_cols,seed,0,1.413e-06,1.507e-07,2.246e-08,2.246e-08,0.000e+00,0.000e+00,0
amended,coarse,U_cols,seed,1,5.848e-05,5.536e-08,8.420e-09,8.420e-09,0.000e+00,0.000e+00,0
amended,coarse,full,seed,0,6.379e-09,2.317e-09,1.594e-08,2.317e-09,2.388e-07,1.616e-09,0
amended,coarse,full,seed,1,1.312e-08,2.021e-09,1.713e-08,2.021e-09,3.764e-06,3.011e-08,0
amended,coarse,full,seed,2,1.619e-07,1.665e-09,1.662e-08,1.665e-09,2.533e-07,1.570e-09,0
amended,coarse,full,seed,3,6.845e-09,1.934e-09,1.837e-08,1.934e-09,1.252e-08,7.420e-11,0
amended,coarse,aug_phi,last-iterate,0,8.517e-09,2.047e-10,1.997e-09,2.047e-10,,,
amended,coarse,aug_phi,last-iterate,1,8.511e-09,7.868e-10,7.058e-09,7.868e-10,,,
