k,cl_committed,cl_regen,ds_max_committed,ds_max_regen,ibl_n_iter_committed,ibl_n_iter_regen
0,0.284371833975345,0.2843718326662933,,,,
1,0.2622394953072003,0.2809676533903835,0.006822816453447005,0.003434220124192096,100,100
2,0.27364210607441725,0.2813548510723215,0.006821740468349494,0.003452450649552104,100,24
3,0.27318586751636703,0.2813743737474584,0.006828324173069344,0.00345421856464971,21,16
