arm,x,re_theta,H,cf,cf_coles_fernholz,cf_power_law,band,corr_spread,worst_dev,inside
new,5.4913632502228715,555.871274524182,1.5070840189774033,0.004349604501096641,0.004719056873170056,0.004942739062564895,0.09260480800159791,0.046302404000798957,0.12000118840189467,0
new,5.912758891352607,648.6210163383408,1.4680411350920681,0.004398815348361694,0.0045400818179069675,0.004755689455360867,0.09277665343334314,0.04638832671667157,0.07504150772437113,1
new,6.366491545765143,747.353654011138,1.4530878974097494,0.004299951841074631,0.004384563441886887,0.004590179839254555,0.09164224131055822,0.04582112065527911,0.06322802337676114,1
new,6.855042687699866,850.9985365485493,1.4433776618307557,0.004187791873936485,0.004248929985419798,0.004443539431481518,0.08955312315891654,0.04477656157945827,0.0575549202361334,1
new,7.381084214498833,959.7219121705439,1.435512585736894,0.0040822716122815225,0.004128895975926037,0.004311961644164481,0.08675216499457129,0.043376082497285647,0.053268106453081554,1
new,7.947493059274324,1073.928791000723,1.4286100920476494,0.0039857073553037255,0.004021190501855401,0.004192444965693129,0.08340008003244927,0.04170004001622463,0.04931194376578385,1
new,8.557366924921638,1194.084378476742,1.4223521797544287,0.003897332396445181,0.003923412498683783,0.004082747180143842,0.0796060472695399,0.03980302363476995,0.04541422123819305,1
new,9.214041225526937,1320.678523883945,1.4165840886335606,0.0038159740557157725,0.0038337784341683587,0.003981181367108642,0.07544654697581289,0.037723273487906446,0.0414970573201624,1
new,9.921107327822968,1454.2203775843568,1.4112117481595847,0.0037405714729665494,0.00375093632992288,0.0038864553731353425,0.07097661006869498,0.03548830503434749,0.03753649178045326,1
new,10.68243219245566,1595.2400297429997,1.406169766680873,0.003670248647263703,0.0036738404586062973,0.0037975607668250693,0.06623673631535104,0.03311836815767552,0.033524708985185,1
new,11.50217952248015,1744.2917160696784,1.401409179402477,0.003604295492110772,0.003601667093595125,0.003713696959991611,0.06125730207045968,0.03062865103522984,0.029458910907228852,1
new,12.384832534747751,1901.9572683505953,1.3968917365256082,0.003542135452657816,0.003533756856296097,0.003634218651034998,0.056061460944532,0.028030730472266,0.0253378256013731,1
new,13.335218478721252,2068.8495175368425,1.3925867594561427,0.0034832967054842204,0.003469574402515365,0.003558598702808039,0.050667107345573864,0.025333553672786932,0.0211605757244836,1
new,14.358535036812315,2245.6156251348098,1.3884691876217172,0.003427389455378052,0.0034086796277404997,0.003486401392315133,0.04508823861449351,0.022544119307246754,0.016926317510989275,1
new,15.460378750625228,2432.9403834510117,1.3845182628900319,0.003374088596010835,0.0033507066916382494,0.0034172627685906337,0.039335920378182954,0.019667960189091477,0.01263413893032439,1
new,16.646775628570584,2631.5495348689137,1.3807165955880925,0.0033231205252209875,0.003295348463484584,0.003350875980058868,0.033418983692750065,0.016709491846375032,0.008427655540572676,1
new,17.92421410224279,2842.2131560903913,1.3770494776107742,0.003274253064384276,0.0032423448003981743,0.0032869801422049315,0.03,0.013672268480778687,0.009841107578127728,1
new,19.2996805118005,3065.7491468694316,1.3735043644320155,0.003227287680473678,0.0031914735846852132,0.0032253517715756723,0.03,0.010559173737650241,0.011221805488325076,1
new,20.780697314420358,3303.026857216765,1.370070477003231,0.0031820534230614025,0.0031425437801764857,0.003165798109857675,0.03,0.007372564799611213,0.012572503566743665,1
new,22.375364224786882,3554.9708829438464,1.3667384910808051,0.0031384021493436175,0.003095389988160377,0.003108151860293236,0.03,0.004114382539722924,0.013895554792048515,1
new,24.092402512616903,3822.56505659953,1.3635002916664856,0.0030962047261392208,0.0030498681323796926,0.0030522669935109784,0.03,0.0007862366472704883,0.01519298269573821,1
new,25.941202699482677,4106.85665906684,1.3603487767565905,0.0030553479806241274,0.003005852004751713,0.002998015372987267,0.03,0.0026105279385426135,0.01912352023056285,1
new,27.931875915788538,4408.960876102239,1.3572776989308764,0.0030157322308644167,0.002963230474774918,0.002945284015728928,0.03,0.006074778719704779,0.023918988715271094,1
new,30.075309198773812,4730.065523724762,1.3542815363643392,0.0029772692695250328,0.0029219052160930708,0.0028939728503330707,0.03,0.009605554119591254,0.028782723093748297,1
new,32.3832250339679,5071.436066445071,1.3513553869497639,0.002939880705121111,0.0028817888399652433,0.0028439928682026613,0.03,0.013202030286507635,0.03371592031419146,0
new,34.868245465731114,5434.420952795982,1.3484948807300738,0.002903496587891042,0.0028428033517808493,0.002795264588276516,0.033726988755548484,0.016863494377774242,0.038719769165486806,0
new,37.54396112750317,5820.457293392378,1.3456961070001248,0.002868054263893243,0.002804878866189078,0.0027477167738155115,0.041178645865535685,0.020589322932767842,0.04379544908867339,0
