level,turb,eta_requested,eta_grid,x_c,y_c,cp,surface
L1,none,0.20,0.2000,0.000000,0.000000,0.643791,upper
L1,none,0.20,0.2000,0.000019,0.000793,0.603903,upper
L1,none,0.20,0.2000,0.000080,0.001650,0.555462,upper
L1,none,0.20,0.2000,0.000196,0.002574,0.496115,upper
L1,none,0.20,0.2000,0.000377,0.003566,0.425559,upper
L1,none,0.20,0.2000,0.000638,0.004627,0.342633,upper
L1,none,0.20,0.2000,0.000993,0.005755,0.246845,upper
L1,none,0.20,0.2000,0.001458,0.006948,0.138156,upper
L1,none,0.20,0.2000,0.002052,0.008200,0.017385,upper
L1,none,0.20,0.2000,0.002791,0.009505,-0.113619,upper
L1,none,0.20,0.2000,0.003694,0.010854,-0.251757,upper
L1,none,0.20,0.2000,0.004777,0.012236,-0.392629,upper
L1,none,0.20,0.2000,0.006058,0.013638,-0.530697,upper
L1,none,0.20,0.2000,0.007551,0.015047,-0.659724,upper
L1,none,0.20,0.2000,0.009271,0.016451,-0.773483,upper
L1,none,0.20,0.2000,0.011228,0.017838,-0.866581,upper
L1,none,0.20,0.2000,0.013436,0.019195,-0.935243,upper
L1,none,0.20,0.2000,0.015904,0.020515,-0.977898,upper
L1,none,0.20,0.2000,0.018643,0.021791,-0.995279,upper
L1,none,0.20,0.2000,0.021664,0.023016,-0.990006,upper
L1,none,0.20,0.2000,0.024979,0.024190,-0.966036,upper
L1,none,0.20,0.2000,0.028600,0.025311,-0.928049,upper
L1,none,0.20,0.2000,0.032543,0.026382,-0.880766,upper
L1,none,0.20,0.2000,0.036823,0.027404,-0.828431,upper
L1,none,0.20,0.2000,0.041456,0.028383,-0.774482,upper
L1,none,0.20,0.2000,0.046463,0.029326,-0.721477,upper
L1,none,0.20,0.2000,0.051862,0.030238,-0.671203,upper
L1,none,0.20,0.2000,0.057676,0.031129,-0.624845,upper
L1,none,0.20,0.2000,0.063928,0.032006,-0.583141,upper
L1,none,0.20,0.2000,0.070642,0.032877,-0.546485,upper
L1,none,0.20,0.2000,0.077844,0.033751,-0.515001,upper
