request,case,geometry,model,turb_model,level,mach,alpha_deg,re_chord,x_tr,x_tr_actual,nj,nk,n_surface_cells,h1_wall,yplus_avg,yplus_max,cl,cd,cd_pressure,cd_friction,cm_quarter_chord,resid_final,resid_decades,ncyc_total,recipe,status,wall_s,keywords,laminar_echo,forcezero_echo,note
R-5,rae2822_m0725_a2.55,rae2822,rans,sa,L1,0.7250,2.5500,6.5000e+06,0.0300,0.031156,281,97,200,4.3519e-06,0.977,1.860,0.834231,0.015421,0.009131,0.006290,0.102108,1.759308e-08,3.14,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j30-43_k1-25,0,trip 0.03 = the Track V x_tr for RAE2822
R-5,rae2822_m0725_a2.55,rae2822,rans,sa,L2,0.7250,2.5500,6.5000e+06,0.0300,0.030322,393,129,280,4.3519e-06,0.980,1.890,0.831949,0.015100,0.008764,0.006336,0.101088,7.854942e-09,3.28,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j42-59_k1-33,0,trip 0.03 = the Track V x_tr for RAE2822
R-5,rae2822_m0725_a2.55,rae2822,rans,sa,L3,0.7250,2.5500,6.5000e+06,0.0300,0.031156,561,161,400,4.3519e-06,0.980,1.950,0.828962,0.014890,0.008524,0.006366,0.100169,3.685160e-09,3.40,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j59-84_k1-41,0,trip 0.03 = the Track V x_tr for RAE2822
R-5,rae2822_m0725_a2.55,rae2822,rans,sst,L1,0.7250,2.5500,6.5000e+06,0.0300,0.031156,281,97,200,4.3519e-06,0.930,1.850,0.763774,0.012844,0.007296,0.005548,0.087915,2.401751e-08,2.97,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j30-43_k1-25,0,trip 0.03 = the Track V x_tr for RAE2822
R-5,rae2822_m0725_a2.55,rae2822,rans,sst,L2,0.7250,2.5500,6.5000e+06,0.0300,0.030322,393,129,280,4.3519e-06,0.931,1.890,0.760278,0.012500,0.006923,0.005577,0.086684,9.697346e-09,3.14,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j42-59_k1-33,0,trip 0.03 = the Track V x_tr for RAE2822
R-5,rae2822_m0725_a2.55,rae2822,rans,sst,L3,0.7250,2.5500,6.5000e+06,0.0300,0.031156,561,161,400,4.3519e-06,0.930,1.940,0.758396,0.012340,0.006749,0.005591,0.086039,6.546884e-09,3.11,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j59-84_k1-41,0,trip 0.03 = the Track V x_tr for RAE2822
R-6,rae2822_m0730_a3.19,rae2822,rans,sa,L1,0.7300,3.1900,6.5000e+06,0.0300,0.031156,281,97,200,4.3519e-06,0.944,1.870,0.938540,0.026640,0.020605,0.006034,0.108423,1.612322e-08,3.26,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j30-43_k1-25,0,trip 0.03 = the Track V x_tr for RAE2822
R-6,rae2822_m0730_a3.19,rae2822,rans,sa,L2,0.7300,3.1900,6.5000e+06,0.0300,0.030322,393,129,280,4.3519e-06,0.947,1.910,0.943500,0.026693,0.020606,0.006088,0.109015,6.248155e-09,3.46,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j42-59_k1-33,0,trip 0.03 = the Track V x_tr for RAE2822
R-6,rae2822_m0730_a3.19,rae2822,rans,sa,L3,0.7300,3.1900,6.5000e+06,0.0300,0.031156,561,161,400,4.3519e-06,0.947,1.980,0.946428,0.026765,0.020643,0.006122,0.109410,3.489069e-09,3.52,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j59-84_k1-41,0,trip 0.03 = the Track V x_tr for RAE2822
R-6,rae2822_m0730_a3.19,rae2822,rans,sst,L1,0.7300,3.1900,6.5000e+06,0.0300,0.031156,281,97,200,4.3519e-06,0.895,1.870,0.843724,0.020866,0.015607,0.005259,0.086413,2.412028e-08,3.03,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j30-43_k1-25,0,trip 0.03 = the Track V x_tr for RAE2822
R-6,rae2822_m0730_a3.19,rae2822,rans,sst,L2,0.7300,3.1900,6.5000e+06,0.0300,0.030322,393,129,280,4.3519e-06,0.896,1.900,0.848186,0.020829,0.015552,0.005277,0.086838,9.763364e-09,3.21,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j42-59_k1-33,0,trip 0.03 = the Track V x_tr for RAE2822
R-6,rae2822_m0730_a3.19,rae2822,rans,sst,L3,0.7300,3.1900,6.5000e+06,0.0300,0.031156,561,161,400,4.3519e-06,0.895,1.960,0.852269,0.020903,0.015614,0.005289,0.087414,5.107040e-09,3.30,6000,cfl1x5_nitfo500_ncyc2000_mseq3,cached,0.0,edvislim 1.e05,i1-2_j59-84_k1-41,0,trip 0.03 = the Track V x_tr for RAE2822
