case,alpha,n_tets,topn,n_sup_topn,mmax,frac_cut_topn,frac_fan_topn,med_abs_s_topn,med_q_topn,med_d_topn,med_dist_fus_topn,med_x_topn,med_z_topn,frac_x_in_crease,med_abs_s_sup,med_q_sup,med_dist_fus_sup,med_x_sup,frac_cut_sup
d1_coarse_a3.06,3.06,65621,200,10,1.141893040984829,0.16,0.0,0.04276632439084381,0.5190511913177194,-0.48864311168770314,0.5005572531420728,0.6013462734442513,0.6502988037154229,0.03,0.009337520394518427,-0.007228319938428502,0.1080952029324896,2.164715210935889,0.4
d1_medium_a3.06,3.06,533129,200,104,14.662489237919898,0.31,0.01,0.005784600194369216,-0.002912655549692093,1.1696870175929157,0.09116616615903417,2.0155972280524517,0.14730065224973168,0.0,0.0054913123181814655,-0.005043968905422198,0.08162561175378061,2.04846406941284,0.34615384615384615
d1_medium_a2.0,2.0,533129,200,28,1.7106630095073674,0.22,0.0,0.010053857855783752,0.001972958586662374,1.0388691699573702,0.10764843566335842,1.8830595753843102,0.1518756910464975,0.0,0.005321190228662103,-0.005685548804000776,0.08305692131298491,2.187528346602063,0.35714285714285715
d1_medium_a1.0,1.0,533129,200,0,0.9978016033859513,0.075,0.0,0.021596014811942663,0.6712407461442575,-0.46820496350865776,0.6462971235743946,0.6495269691765488,0.7961350354416835,0.005,nan,nan,nan,nan,nan
d1_medium_a0.0,0.0,533129,200,0,0.6571148374268136,0.0,0.0,0.012228218141742492,1.079390724117407,-0.4459936324628678,1.038881771266253,0.6966844625594422,1.188815775067344,0.005,nan,nan,nan,nan,nan
