C,cl16,cl8,dcl_rel,dx,level,over,seed,usable_16t,usable_8t,x16,x8
1.0,0.42473,0.42473,0.0,0.0,coarse,False,0,True,True,0.6232798974799071,0.6232798974799071
1.0,0.413008,0.413008,0.0,0.0,coarse,False,5,True,True,0.6058305162933866,0.6058305162933866
1.5,0.407978,0.407978,0.0,0.0,coarse,False,0,True,True,0.6194677102667253,0.6194677102667253
1.5,0.407108,0.407108,0.0,0.0,coarse,False,5,True,True,0.6072503529432096,0.6072503529432096
3.0,0.377355,0.377355,0.0,0.0,coarse,False,0,True,True,0.6210061977710708,0.6210061977710708
3.0,0.377442,0.377442,0.0,0.0,coarse,False,5,True,True,0.6210551231184764,0.6210551231184764
1.0,0.857947,0.8579,,,medium,,0,False,False,0.978699920321843,0.978697476777245
1.0,0.63779,0.68657,,,medium,,5,False,False,0.9805552766377399,0.9416727390008529
1.5,0.34134,0.352693,,,medium,,0,True,False,0.6005923629166801,0.8798247106444734
1.5,0.34134,0.340114,,,medium,,5,True,False,0.6005923629166801,0.5737947433313576
3.0,0.519284,0.519284,,,medium,,0,False,False,0.7044677545456074,0.7044677545455508
3.0,0.289614,0.289613,3.4528836757094623e-06,4.6189704838717205e-08,medium,False,5,True,True,0.6135659896425643,0.6135660358322691
