level,cl_pressure,cl_gamma,cl_panel_ref,rel_err_pct,n_kutta_updates
coarse,4.680513738e-01,4.695319778e-01,4.825560000e-01,-3.005791278e+00,2
medium,4.785760988e-01,4.786458593e-01,4.825560000e-01,-8.247542701e-01,2
