x,y,z,xc_local,z_over_b,side,ds,ds_over_c,H,B,Psi,Ctau1,Ctau2,cf1,pinned,tip_masked
0.928134,0.000000,0.432398,1.0000,0.3614,-1,2.560655e-03,3.774055e-03,1.7919,1.301489e+01,-7.973292e-01,2.478707e-03,1.453244e-08,1.046871e-03,0,0
0.932201,0.000000,0.446811,1.0000,0.3735,-1,2.621817e-03,3.888580e-03,1.6856,2.733475e+01,-1.788433e+00,2.343615e-03,1.788990e-08,1.356030e-03,0,0
0.936269,0.000000,0.461224,1.0000,0.3855,-1,2.686326e-03,4.009554e-03,1.6119,2.010120e+01,-6.567675e-01,2.163818e-03,1.150994e-08,1.364656e-03,0,0
0.940337,0.000000,0.475637,1.0000,0.3976,-1,2.448640e-03,3.678142e-03,1.5740,1.252616e+01,-7.467500e-02,2.091147e-03,5.610403e-09,1.445434e-03,0,0
0.944404,0.000000,0.490051,1.0000,0.4096,-1,2.481878e-03,3.752045e-03,1.5982,6.314907e+00,3.995784e-01,2.012673e-03,1.245466e-10,1.381356e-03,0,0
0.948472,0.000000,0.504464,1.0000,0.4217,-1,2.447991e-03,3.724769e-03,1.5886,1.371029e+01,-4.234942e-01,2.058052e-03,-3.664580e-09,1.423862e-03,0,0
0.952539,0.000000,0.518877,1.0000,0.4337,-1,2.665424e-03,4.082029e-03,1.6646,1.373829e+01,-3.276236e-01,2.101490e-03,-7.041135e-09,1.234708e-03,0,0
0.956607,0.000000,0.533290,1.0000,0.4458,-1,2.488171e-03,3.835557e-03,1.6089,9.722772e+00,7.891777e-02,2.084088e-03,-9.249331e-09,1.357108e-03,0,0
0.960675,0.000000,0.547704,1.0000,0.4578,-1,2.111290e-03,3.276072e-03,1.5130,2.432300e+01,-2.679028e+00,2.248303e-03,-8.285610e-09,1.839852e-03,0,0
0.964742,0.000000,0.562117,1.0000,0.4699,-1,2.555703e-03,3.992015e-03,1.6153,6.848820e+00,4.053166e-01,2.268670e-03,-4.377969e-09,1.334400e-03,0,0
0.968810,0.000000,0.576530,1.0000,0.4819,-1,2.436109e-03,3.830662e-03,1.5881,1.298169e+01,-3.331538e-01,2.392303e-03,-3.323652e-09,1.422377e-03,0,0
0.972877,0.000000,0.590943,1.0000,0.4940,-1,2.457394e-03,3.890153e-03,1.6111,7.481968e+00,2.563071e-01,2.206815e-03,-7.469182e-09,1.354825e-03,0,0
0.976945,0.000000,0.605357,1.0000,0.5060,-1,2.287756e-03,3.646163e-03,1.6039,1.112182e+01,-2.000344e-02,2.296104e-03,-5.276945e-09,1.397715e-03,0,0
0.981013,0.000000,0.619770,1.0000,0.5181,-1,2.312556e-03,3.710847e-03,1.5701,1.929221e+01,-8.673313e-01,2.080208e-03,2.423917e-08,1.519685e-03,0,0
0.985080,0.000000,0.634183,1.0000,0.5301,-1,2.490934e-03,4.024553e-03,1.6215,1.292468e+01,-1.529482e-01,2.310718e-03,-6.906602e-08,1.336585e-03,0,0
0.989148,0.000000,0.648596,1.0000,0.5422,-1,1.689630e-03,2.748794e-03,1.4108,1.706355e+01,-8.502864e+00,2.455384e-03,-2.671799e-07,2.239165e-03,0,0
0.993215,0.000000,0.663010,1.0000,0.5542,-1,2.310848e-03,3.785629e-03,1.5585,3.967167e-01,1.255567e+00,2.312348e-03,-2.653535e-07,1.525979e-03,0,0
0.997283,0.000000,0.677423,1.0000,0.5663,-1,1.818793e-03,3.000454e-03,1.5292,2.428555e+01,1.752753e+00,2.672946e-03,-2.612718e-08,1.671808e-03,0,0
1.001350,0.000000,0.691836,1.0000,0.5783,-1,2.070059e-03,3.439102e-03,1.5592,8.216058e+00,-7.625032e-02,1.786219e-03,1.055913e-07,1.536490e-03,0,0
1.005418,0.000000,0.706249,1.0000,0.5904,-1,2.249239e-03,3.763379e-03,1.6414,1.334476e+01,-4.395738e-01,3.676433e-04,1.166550e-07,1.339207e-03,0,0
1.009486,0.000000,0.720663,1.0000,0.6024,-1,2.387212e-03,4.022866e-03,1.6411,1.113246e+01,-1.984780e-01,8.676936e-04,6.574186e-07,1.308397e-03,0,0
1.013553,0.000000,0.735076,1.0000,0.6145,-1,2.265937e-03,3.846066e-03,1.6003,4.438142e+00,6.744608e-01,1.820524e-03,1.074106e-07,1.410629e-03,0,0
1.017621,0.000000,0.749489,1.0000,0.6265,-1,2.219436e-03,3.794537e-03,1.6085,2.016684e+01,-1.122297e+00,1.343025e-03,-2.377247e-06,1.474144e-03,0,0
1.021688,0.000000,0.763902,1.0000,0.6386,-1,2.208860e-03,3.804122e-03,1.5817,2.147697e+01,-1.359188e+00,1.354933e-03,-2.957351e-06,1.555412e-03,0,0
1.025756,0.000000,0.778316,1.0000,0.6506,-1,2.188870e-03,3.797516e-03,1.5699,5.919623e+00,6.333526e-01,1.848656e-03,-3.095984e-06,1.490548e-03,0,0
1.029824,0.000000,0.792729,1.0000,0.6627,-1,2.180095e-03,3.810415e-03,1.5525,1.780596e+01,-7.946322e-01,2.254082e-03,-2.312062e-06,1.574744e-03,0,0
1.033891,0.000000,0.807142,1.0000,0.6747,-1,2.218890e-03,3.907271e-03,1.5626,1.373085e+01,-2.835341e-01,2.086420e-03,-3.116334e-08,1.513159e-03,0,0
1.037959,0.000000,0.821555,1.0000,0.6867,-1,2.128125e-03,3.775725e-03,1.5608,1.761383e+01,-8.149475e-01,2.280087e-03,1.861090e-07,1.565685e-03,0,0
1.042026,0.000000,0.835969,1.0000,0.6988,-1,2.112945e-03,3.777301e-03,1.5476,1.247578e+01,-1.471274e-01,2.263747e-03,1.079052e-07,1.561951e-03,0,0
1.046094,0.000000,0.850382,1.0000,0.7108,-1,2.094417e-03,3.772870e-03,1.5537,1.403137e+01,-3.333435e-01,2.567565e-03,-5.621733e-07,1.557999e-03,0,0
1.050161,0.000000,0.864795,1.0000,0.7229,-1,2.037106e-03,3.697968e-03,1.5059,1.226972e+01,-2.271730e-01,2.501086e-03,-1.005993e-07,1.683949e-03,0,0
1.054229,0.000000,0.879208,1.0000,0.7349,-1,2.314805e-03,4.234777e-03,1.5613,1.027299e+01,1.339514e-01,2.634404e-03,5.960223e-07,1.489360e-03,0,0
1.058297,0.000000,0.893622,1.0000,0.7470,-1,2.178656e-03,4.016963e-03,1.5683,1.474481e+01,-6.709288e-01,2.420326e-03,1.089132e-06,1.524719e-03,0,0
