x_c,cp,surface
0.000732,0.557772,upper
0.002196,0.474257,upper
0.004610,-0.330167,upper
0.007975,-0.463994,upper
0.011715,-0.724590,upper
0.015832,-0.766167,upper
0.020112,-0.872068,upper
0.024556,-0.895152,upper
0.029086,-0.942111,upper
0.033701,-0.902508,upper
0.038367,-0.928304,upper
0.043084,-0.934922,upper
0.047835,-0.916001,upper
0.052620,-0.922467,upper
0.057428,-0.910507,upper
0.062260,-0.909045,upper
0.067108,-0.892356,upper
0.071974,-0.892022,upper
0.076853,-0.877946,upper
0.081744,-0.877223,upper
0.086646,-0.860921,upper
0.091558,-0.860251,upper
0.096477,-0.845160,upper
0.101405,-0.844665,upper
0.106339,-0.828192,upper
0.111279,-0.828441,upper
0.116225,-0.811932,upper
0.121176,-0.811869,upper
0.126131,-0.796281,upper
0.131090,-0.796628,upper
0.136053,-0.780805,upper
0.141019,-0.780360,upper
0.145989,-0.764730,upper
0.150961,-0.766378,upper
0.155936,-0.752145,upper
0.160913,-0.747868,upper
0.165893,-0.735654,upper
0.170874,-0.737335,upper
0.175857,-0.719327,upper
0.180842,-0.721154,upper
0.185828,-0.708319,upper
0.190816,-0.704868,upper
0.195805,-0.693534,upper
0.200795,-0.693922,upper
0.205787,-0.678789,upper
0.210779,-0.679806,upper
0.215772,-0.664598,upper
0.220766,-0.665400,upper
0.225760,-0.652667,upper
0.230756,-0.652011,upper
0.235751,-0.639299,upper
0.240748,-0.639267,upper
0.245744,-0.626494,upper
0.250742,-0.626153,upper
0.255739,-0.613613,upper
0.260737,-0.613109,upper
0.265735,-0.601170,upper
0.270733,-0.601068,upper
0.275732,-0.588504,upper
0.280730,-0.589054,upper
0.285729,-0.575861,upper
0.290728,-0.576559,upper
0.295727,-0.564325,upper
0.300726,-0.564068,upper
0.305725,-0.552438,upper
0.310723,-0.552310,upper
0.315722,-0.541017,upper
0.320721,-0.540287,upper
0.325720,-0.529157,upper
0.330718,-0.529102,upper
0.335716,-0.517546,upper
0.340715,-0.518295,upper
0.345713,-0.506002,upper
0.350711,-0.506112,upper
0.355708,-0.495432,upper
0.360706,-0.495238,upper
0.365703,-0.484687,upper
0.370700,-0.484445,upper
0.375697,-0.474146,upper
0.380693,-0.474010,upper
0.385690,-0.461841,upper
0.390686,-0.462067,upper
0.395682,-0.452570,upper
0.400677,-0.452492,upper
0.405672,-0.441895,upper
0.410667,-0.441704,upper
0.415662,-0.431455,upper
0.420656,-0.431227,upper
0.425650,-0.421335,upper
0.430644,-0.421763,upper
0.435637,-0.411456,upper
0.440630,-0.411383,upper
0.445623,-0.400859,upper
0.450615,-0.400799,upper
0.455607,-0.391745,upper
0.460599,-0.391788,upper
0.465590,-0.381669,upper
0.470581,-0.381968,upper
0.475572,-0.371956,upper
0.480562,-0.372452,upper
0.485552,-0.363064,upper
0.490541,-0.362559,upper
0.495531,-0.353347,upper
0.500520,-0.353300,upper
0.505508,-0.344241,upper
0.510496,-0.343887,upper
0.515484,-0.334934,upper
0.520472,-0.334737,upper
0.525459,-0.325682,upper
0.530446,-0.325971,upper
0.535432,-0.316662,upper
0.540418,-0.316712,upper
0.545404,-0.307892,upper
0.550389,-0.308188,upper
0.555374,-0.298921,upper
0.560359,-0.298735,upper
0.565343,-0.290193,upper
0.570327,-0.290143,upper
0.575311,-0.281721,upper
0.580294,-0.280895,upper
0.585277,-0.272778,upper
0.590259,-0.273061,upper
0.595242,-0.263848,upper
0.600223,-0.264054,upper
0.605205,-0.255646,upper
0.610186,-0.255819,upper
0.615167,-0.246888,upper
0.620147,-0.246825,upper
0.625127,-0.239120,upper
0.630107,-0.238263,upper
0.635086,-0.229986,upper
0.640065,-0.230547,upper
0.645044,-0.221173,upper
0.650022,-0.221531,upper
0.655000,-0.212900,upper
0.659978,-0.213210,upper
0.664955,-0.204731,upper
0.669932,-0.204667,upper
0.674908,-0.196289,upper
0.679885,-0.196662,upper
0.684860,-0.187941,upper
0.689836,-0.187726,upper
0.694811,-0.179343,upper
0.699786,-0.179424,upper
0.704760,-0.170705,upper
0.709734,-0.171119,upper
0.714708,-0.162348,upper
0.719681,-0.161930,upper
0.724654,-0.153762,upper
0.729627,-0.153674,upper
0.734599,-0.145248,upper
0.739571,-0.145317,upper
0.744542,-0.136068,upper
0.749514,-0.135863,upper
0.754484,-0.127123,upper
0.759455,-0.127291,upper
0.764425,-0.118667,upper
0.769394,-0.118628,upper
0.774364,-0.109199,upper
0.779333,-0.109521,upper
0.784301,-0.099820,upper
0.789269,-0.099673,upper
0.794237,-0.090494,upper
0.799204,-0.090412,upper
0.804171,-0.080849,upper
0.809138,-0.081086,upper
0.814104,-0.070865,upper
0.819070,-0.070841,upper
0.824035,-0.060618,upper
0.829000,-0.060824,upper
0.833965,-0.050202,upper
0.838929,-0.050144,upper
0.843892,-0.039282,upper
0.848856,-0.039517,upper
0.853818,-0.028122,upper
0.858781,-0.028074,upper
0.863743,-0.016108,upper
0.868704,-0.016795,upper
0.873665,-0.003747,upper
0.878626,-0.004153,upper
0.883586,0.008571,upper
0.888546,0.009404,upper
0.893505,0.022479,upper
0.898464,0.022683,upper
0.903422,0.037250,upper
0.908380,0.037634,upper
0.913337,0.053142,upper
0.918294,0.051987,upper
0.923250,0.070854,upper
0.928205,0.069216,upper
0.933161,0.089521,upper
0.938115,0.088687,upper
0.943069,0.110138,upper
0.948023,0.110289,upper
0.952976,0.134567,upper
0.957928,0.131750,upper
0.962880,0.164705,upper
0.967831,0.161547,upper
0.972782,0.200583,upper
0.977732,0.198791,upper
0.982682,0.251900,upper
0.987630,0.242744,upper
0.992579,0.352263,upper
0.997526,0.371586,upper
0.000732,1.053081,lower
0.002196,1.060870,lower
0.004610,0.840119,lower
0.007975,0.860375,lower
0.011715,0.499355,lower
0.015832,0.537019,lower
0.020112,0.295291,lower
0.024556,0.329263,lower
0.029086,0.176817,lower
0.033701,0.189817,lower
0.038367,0.079175,lower
0.043084,0.083383,lower
0.047835,0.006484,lower
0.052620,0.014714,lower
0.057428,-0.038481,lower
0.062260,-0.037189,lower
0.067108,-0.080424,lower
0.071974,-0.077294,lower
0.076853,-0.110475,lower
0.081744,-0.111042,lower
0.086646,-0.139055,lower
0.091558,-0.136543,lower
0.096477,-0.158715,lower
0.101405,-0.157795,lower
0.106339,-0.176481,lower
0.111279,-0.175424,lower
0.116225,-0.190771,lower
0.121176,-0.190823,lower
0.126131,-0.203223,lower
0.131090,-0.202753,lower
0.136053,-0.211559,lower
0.141019,-0.211414,lower
0.145989,-0.221775,lower
0.150961,-0.220391,lower
0.155936,-0.227622,lower
0.160913,-0.227860,lower
0.165893,-0.232568,lower
0.170874,-0.232519,lower
0.175857,-0.237818,lower
0.180842,-0.236919,lower
0.185828,-0.241348,lower
0.190816,-0.240562,lower
0.195805,-0.242121,lower
0.200795,-0.244338,lower
0.205787,-0.245269,lower
0.210779,-0.244142,lower
0.215772,-0.246016,lower
0.220766,-0.245764,lower
0.225760,-0.245905,lower
0.230756,-0.246975,lower
0.235751,-0.246818,lower
0.240748,-0.246589,lower
0.245744,-0.245879,lower
0.250742,-0.246049,lower
0.255739,-0.245887,lower
0.260737,-0.245103,lower
0.265735,-0.244149,lower
0.270733,-0.244143,lower
0.275732,-0.242290,lower
0.280730,-0.242298,lower
0.285729,-0.240807,lower
0.290728,-0.240363,lower
0.295727,-0.238356,lower
0.300726,-0.237870,lower
0.305725,-0.235624,lower
0.310723,-0.236002,lower
0.315722,-0.233482,lower
0.320721,-0.233242,lower
0.325720,-0.230591,lower
0.330718,-0.230425,lower
0.335716,-0.227575,lower
0.340715,-0.227479,lower
0.345713,-0.224298,lower
0.350711,-0.224050,lower
0.355708,-0.220340,lower
0.360706,-0.220544,lower
0.365703,-0.217391,lower
0.370700,-0.217813,lower
0.375697,-0.213669,lower
0.380693,-0.213743,lower
0.385690,-0.209889,lower
0.390686,-0.209921,lower
0.395682,-0.206273,lower
0.400677,-0.206485,lower
0.405672,-0.202491,lower
0.410667,-0.202366,lower
0.415662,-0.198417,lower
0.420656,-0.198163,lower
0.425650,-0.194304,lower
0.430644,-0.194234,lower
0.435637,-0.190522,lower
0.440630,-0.190313,lower
0.445623,-0.186239,lower
0.450615,-0.185986,lower
0.455607,-0.181792,lower
0.460599,-0.181927,lower
0.465590,-0.177724,lower
0.470581,-0.177873,lower
0.475572,-0.173028,lower
0.480562,-0.173339,lower
0.485552,-0.168977,lower
0.490541,-0.169028,lower
0.495531,-0.164708,lower
0.500520,-0.164322,lower
0.505508,-0.160193,lower
0.510496,-0.160178,lower
0.515484,-0.155885,lower
0.520472,-0.155933,lower
0.525459,-0.151401,lower
0.530446,-0.151287,lower
0.535432,-0.146600,lower
0.540418,-0.146780,lower
0.545404,-0.142243,lower
0.550389,-0.142267,lower
0.555374,-0.137735,lower
0.560359,-0.137838,lower
0.565343,-0.133246,lower
0.570327,-0.133224,lower
0.575311,-0.128601,lower
0.580294,-0.128407,lower
0.585277,-0.123825,lower
0.590259,-0.123888,lower
0.595242,-0.119371,lower
0.600223,-0.119322,lower
0.605205,-0.114468,lower
0.610186,-0.114287,lower
0.615167,-0.109897,lower
0.620147,-0.110087,lower
0.625127,-0.105160,lower
0.630107,-0.105138,lower
0.635086,-0.100377,lower
0.640065,-0.100137,lower
0.645044,-0.095439,lower
0.650022,-0.095511,lower
0.655000,-0.090570,lower
0.659978,-0.090576,lower
0.664955,-0.085892,lower
0.669932,-0.085622,lower
0.674908,-0.080651,lower
0.679885,-0.080938,lower
0.684860,-0.075332,lower
0.689836,-0.075529,lower
0.694811,-0.070616,lower
0.699786,-0.070625,lower
0.704760,-0.065394,lower
0.709734,-0.065352,lower
0.714708,-0.060126,lower
0.719681,-0.059957,lower
0.724654,-0.054758,lower
0.729627,-0.054515,lower
0.734599,-0.049156,lower
0.739571,-0.049251,lower
0.744542,-0.043742,lower
0.749514,-0.043644,lower
