level,cl_pressure,cl_gamma,cl_ref_pg,cl_ref_kt,cl_ref_mid,rel_err_mid_pct,n_picard,n_solves,mach2_max
coarse,0.277590,0.278127,0.278774,0.291861,0.285318,-2.708,15,37,0.5421
medium,0.284372,0.284362,0.278774,0.291861,0.285318,-0.331,15,35,0.5274
