side,level,cls,target_reached,m_last_converged,m_final,n_levels_run,n_halvings,wall_s,die_m,die_tag,die_converged,die_res,die_nlim,die_nflr,die_n_newton,die_mmax,die_gamma,die_accept,pk_mmax,pk_x,pk_y,pk_z,pk_dist_fus,pk_z_minus_zjunc,pk_dist_te_junc,corr_mmax,corr_x,corr_z,corr_q,n_sup,n_sup_corr,sheet_mmax,sheet_x,sheet_z,tip_mmax,tip_x,tip_z,top_med_abs_s,top_med_q,top_med_x,pocket_peak_x,pocket_past_tail,cl_p,cl_fus,cl_fus_band,cl_fus_out,cl_fus_poles,n_te_nodes,n_aux_farfield,n_aux_symmetry,n_cut,n_cut_wing,n_cut_inboard_body,n_cut_inboard_sym,sliver_dih_min_deg,sliver_dih_p05_deg,sliver_vol_min,sliver_vol_p05,strip_aux_jump_max,strip_aux_jump_p95,strip_aux_jump_over_gamma
A,coarse,b+dm,False,0.8200000000000001,0.84,10,1,135.6,0.84,strict,False,0.0006301619110920219,4,9,80,3.275593516761441,0.08017225464971461,,3.275593516761441,2.2498362646739407,0.1031769109412906,0.16033645264677918,0.13296872151276323,0.010336452646779182,1.405229225368083,3.275593516761441,2.2498362646739407,0.16033645264677918,0.010296096105800965,7434,305,3.275593516761441,2.2498362646739407,0.16033645264677918,2.8330222513001226,1.150251531739645,1.1938973492812905,0.027994882421731704,0.6641931168992111,1.133412287100796,2.2498362646739407,False,0.26220363855309314,0.04838078326924674,0.014942992565680914,0.03343779070356585,-0.0006378538559031696,76,4,12,1503,1473,22,8,35.18849369980428,37.1142239284519,9.111496108039e-06,1.0566011356879392e-05,0.13465095039121255,0.13213195334736297,1.6795205645584506
C,coarse,reached,True,0.84,0.84,8,0,84.8,0.84,strict,True,6.939199215239e-11,6,1,54,14.288193580966574,0.07781047232517874,assignment_cycle,14.288193580966574,1.150251531739645,0.0007242433545651834,1.1938973492812905,1.04389756895193,1.0438973492812906,1.0866524546208791,1.1017832077043992,2.400468578902311,0.0270392474108126,-0.12628402051707055,7167,81,1.0339980955608696,1.7957253193373461,0.172632552332706,14.288193580966574,1.150251531739645,1.1938973492812905,0.04377910500724553,0.9651890476342384,0.6577203795870463,2.400468578902311,True,0.2541697348197805,0.07561147624405139,0.0072031324137537605,0.06840834383029762,0.0007128709487344794,76,4,68,2088,1488,497,103,20.42583662231313,37.65672248433862,1.571696635713253e-07,3.9062463402429403e-07,0.09196338687744143,0.08678320272507445,1.1818895854161644
A,medium,a+dm,False,0.5,0.5125,4,2,1559.9,0.5125,strict,False,1.3500311979441904e-13,6,3,80,6.173512446769648,0.06448105129309221,,6.173512446769648,2.122023041212257,0.06520767435404663,0.1457414881695244,0.0764048779966703,-0.0042585118304755976,1.275260293814872,6.173512446769648,2.122023041212257,0.1457414881695244,-0.004378903331225369,110,96,6.173512446769648,2.122023041212257,0.1457414881695244,1.5890962914367264,1.1394925183472542,1.1979763453618406,0.005784600194369216,-0.004541014464005077,2.0338122309711686,2.122023041212257,False,0.21238896744492583,0.03770293297439903,0.016157113426195663,0.02154581954820338,-0.0001363900912250957,150,4,33,8805,8662,49,94,17.919255647608118,30.512519879154425,8.262331345296789e-07,1.2282311068029812e-06,0.07708120022661102,0.0763820208569739,1.1954085530684988
C,medium,b+dm,False,0.7625000000000002,0.7750000000000002,10,2,2332.9,0.7750000000000002,strict,False,2.287198116235345e-06,8,7,80,4.176324175743897,0.07543964361224985,,4.176324175743897,1.1373361342752353,-8.632432228823958e-05,1.19708956367095,1.0470895667834526,1.04708956367095,1.0862129831692822,1.0742157956036216,2.3984837301134325,0.02387784830621239,-0.12944097781286357,8788,116,1.0509868603780073,1.7940462897259926,0.13976152219915042,4.176324175743897,1.1373361342752353,1.19708956367095,0.03631532528376019,1.0805734879558122,0.7039024830109355,2.3984837301134325,True,0.24752098660969418,0.07806764245970581,0.021562853378879893,0.05650478908082595,0.0007870226799795555,150,4,150,11110,8690,1927,493,11.040416182984655,37.29841571480758,2.6066348626530497e-08,7.283693505828235e-08,0.0881273183411071,0.0845138316219938,1.16818312125214
