x_c,side,l_rel,cp_off,cp_on,dcp
0.9009,upper,1.00,0.030061,0.029060,-0.001001
0.9109,upper,1.00,0.045531,0.044555,-0.000975
0.9208,upper,1.00,0.062359,0.061418,-0.000941
0.9307,upper,1.00,0.080819,0.079925,-0.000895
0.9406,upper,1.00,0.101099,0.100266,-0.000833
0.9505,upper,1.00,0.122824,0.122083,-0.000741
0.9604,upper,1.00,0.145477,0.144917,-0.000560
0.9703,upper,1.00,0.175823,0.175626,-0.000197
0.9802,upper,1.00,0.227078,0.227821,+0.000743
0.9901,upper,1.00,0.250955,0.252142,+0.001186
1.0000,upper,1.00,0.308216,0.310719,+0.002503
0.9009,lower,1.00,0.073217,0.072287,-0.000930
0.9109,lower,1.00,0.085511,0.084606,-0.000905
0.9208,lower,1.00,0.099083,0.098212,-0.000871
0.9307,lower,1.00,0.114168,0.113341,-0.000826
0.9406,lower,1.00,0.131449,0.130684,-0.000765
0.9505,lower,1.00,0.150051,0.149383,-0.000668
0.9604,lower,1.00,0.169135,0.168671,-0.000464
0.9703,lower,1.00,0.192232,0.192159,-0.000073
0.9802,lower,1.00,0.241926,0.242968,+0.001043
0.9901,lower,1.00,0.255711,0.257038,+0.001328
1.0000,lower,1.00,0.303335,0.305786,+0.002451
0.9009,upper,0.50,0.030061,0.028357,-0.001704
0.9109,upper,0.50,0.045531,0.043815,-0.001716
0.9208,upper,0.50,0.062359,0.060635,-0.001724
0.9307,upper,0.50,0.080819,0.079093,-0.001726
0.9406,upper,0.50,0.101099,0.099379,-0.001720
0.9505,upper,0.50,0.122824,0.121122,-0.001702
0.9604,upper,0.50,0.145477,0.143839,-0.001638
0.9703,upper,0.50,0.175823,0.174377,-0.001445
0.9802,upper,0.50,0.227078,0.226300,-0.000778
0.9901,upper,0.50,0.250955,0.250502,-0.000454
1.0000,upper,0.50,0.308216,0.308813,+0.000597
0.9009,lower,0.50,0.073217,0.071596,-0.001620
0.9109,lower,0.50,0.085511,0.083876,-0.001635
0.9208,lower,0.50,0.099083,0.097438,-0.001645
0.9307,lower,0.50,0.114168,0.112517,-0.001651
0.9406,lower,0.50,0.131449,0.129799,-0.001650
0.9505,lower,0.50,0.150051,0.148418,-0.001633
0.9604,lower,0.50,0.169135,0.167591,-0.001544
0.9703,lower,0.50,0.192232,0.190913,-0.001319
0.9802,lower,0.50,0.241926,0.241414,-0.000512
0.9901,lower,0.50,0.255711,0.255393,-0.000317
1.0000,lower,0.50,0.303335,0.303890,+0.000555
0.9009,upper,2.00,0.030061,0.029585,-0.000475
0.9109,upper,2.00,0.045531,0.045102,-0.000428
0.9208,upper,2.00,0.062359,0.061989,-0.000370
0.9307,upper,2.00,0.080819,0.080521,-0.000298
0.9406,upper,2.00,0.101099,0.100891,-0.000208
0.9505,upper,2.00,0.122824,0.122747,-0.000077
0.9604,upper,2.00,0.145477,0.145643,+0.000166
0.9703,upper,2.00,0.175823,0.176440,+0.000617
0.9802,upper,2.00,0.227078,0.228770,+0.001692
0.9901,upper,2.00,0.250955,0.253149,+0.002193
1.0000,upper,2.00,0.308216,0.311850,+0.003634
0.9009,lower,2.00,0.073217,0.072802,-0.000415
0.9109,lower,2.00,0.085511,0.085143,-0.000368
0.9208,lower,2.00,0.099083,0.098773,-0.000310
0.9307,lower,2.00,0.114168,0.113930,-0.000238
0.9406,lower,2.00,0.131449,0.131305,-0.000144
0.9505,lower,2.00,0.150051,0.150047,-0.000004
0.9604,lower,2.00,0.169135,0.169395,+0.000260
0.9703,lower,2.00,0.192232,0.192967,+0.000735
0.9802,lower,2.00,0.241926,0.243928,+0.002002
0.9901,lower,2.00,0.255711,0.258042,+0.002332
1.0000,lower,2.00,0.303335,0.306911,+0.003575
