k,ds_max,ds_change_rel,ds_neg_floored,mdot_max,ibl_n_iter,ibl_converged,ibl_final_residual,inflow_n_pinned,cl,cd_p,ds_wake_te,th_wake_te,mdot_wake_max
0,,,,0.0,,,,,0.2843718324331468,0.0015643358802351626,,,
1,0.0034540636638663463,inf,0,0.018878277702012503,100,False,1.8257568977560046e-06,14,0.2821143904441686,0.0024659051142310985,0.00657264813721866,0.004455308253464557,0.015943181666543293
2,0.00346743666551331,0.011598759960880412,0,0.018797913777336694,18,False,1.8468910271086178e-06,,0.28261747155308264,0.002458182448358809,0.006621751596527645,0.004477447638863385,0.015991480201779207
3,0.003469117784098491,0.000859112208037311,0,0.01871320931689413,11,False,1.8443822772704731e-06,,0.28263362034372275,0.0024570025153226585,0.006626036072603538,0.0044793205300589865,0.01598107474847843
