solver,n_dofs,gamma,n_outer,n_refactor,n_gmres,n_stalled,wall_s,per_outer_s,converged
spsolve,67426,0.06685270,26,0,0,0,447.61,17.216,1
lagged(k=1000),67426,0.06685270,26,2,112,1,68.31,2.627,1
